Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.bttrees
Data File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.btdata
Log File Name:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-70recon-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1177518447
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-70recon-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.242424,0.121212,0.121212,0.515152)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	1
	ANC	2	L11_Pende G61_Sangu 
Scale Tree:                      0.101827
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - exp 10.00 
        q13 - exp 10.00 
        q21 - exp 10.00 
        q24 - exp 10.00 
        q31 - exp 10.00 
        q34 - exp 10.00 
        q42 - exp 10.00 
        q43 - exp 10.00 
Node reconstruction / fossilisation:
	MRCA RecNode ANC
Tree Information
     Trees:                      1000
     Taxa:                       66
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RecNode - P(0,0)	RecNode - P(0,1)	RecNode - P(1,0)	RecNode - P(1,1)	
6197000	-77.263410	180	2.754598	19.408622	6.287202	16.419048	48.112340	1.437293	2.233726	1.292218	0.258044	0.119200	0.129152	0.493603	0.021367	0.135062	0.009834	0.833737	
6198000	-74.349241	551	5.174508	0.519939	17.088361	15.658380	1.332650	7.316457	4.348858	2.120757	0.258455	0.124440	0.113843	0.503262	0.045561	0.080429	0.157106	0.716904	
6199000	-79.001945	374	22.962876	5.719802	22.824630	17.315247	10.922948	6.791413	6.428768	3.153755	0.242408	0.121210	0.121199	0.515183	0.228540	0.119065	0.112377	0.540018	
6200000	-77.968435	931	9.159609	4.152941	6.756847	35.122824	15.638391	2.240226	13.125815	1.690336	0.244762	0.120502	0.123426	0.511310	0.227806	0.126717	0.103171	0.542307	
6201000	-76.162590	931	2.814104	7.870967	10.928115	4.617421	12.423988	2.693064	4.259943	0.803861	0.204600	0.112573	0.106048	0.576780	0.009696	0.037118	0.021149	0.932037	
6202000	-77.084169	667	3.653156	1.628829	10.200806	15.693308	0.004188	24.226378	8.610952	4.794901	0.245643	0.121515	0.120233	0.512609	0.087225	0.101430	0.174155	0.637190	
6203000	-77.291755	783	4.735559	1.206514	25.706220	1.309187	0.538015	32.032914	3.931155	4.269423	0.200770	0.100354	0.135696	0.563180	0.008196	0.003764	0.224462	0.763578	
6204000	-74.513898	74	6.555614	1.209114	16.058686	0.756356	5.231123	13.033797	1.666137	3.564484	0.193987	0.096466	0.129975	0.579572	0.002066	0.001124	0.112348	0.884462	
6205000	-78.128972	864	8.971545	5.291111	13.562655	4.053769	7.630393	15.667429	2.652729	1.039606	0.247252	0.123568	0.120767	0.508414	0.128084	0.063129	0.135014	0.673773	
6206000	-75.239999	18	2.339684	0.034851	3.466200	14.735377	3.990148	16.963860	2.560376	4.761500	0.401149	0.105395	0.105875	0.387581	0.015204	0.133956	0.131655	0.719185	
6207000	-74.847655	927	1.915193	0.726142	15.796704	0.038117	1.555836	15.655022	1.497796	1.786133	0.283127	0.141743	0.109665	0.465465	0.004582	0.000640	0.194677	0.800101	
6208000	-76.841228	613	0.333276	0.969984	9.402906	7.215286	5.077944	22.290885	4.807109	2.852205	0.185601	0.115889	0.130157	0.568353	0.007614	0.044574	0.158796	0.789016	
6209000	-74.106255	397	4.320831	0.029622	9.587837	13.800528	3.165681	13.014419	3.503107	4.801903	0.271418	0.123244	0.117037	0.488301	0.008467	0.065535	0.142555	0.783443	
6210000	-76.433176	895	0.855064	0.114933	7.916712	0.773313	0.938648	7.857831	1.972802	4.863739	0.146177	0.096254	0.140820	0.616750	0.003174	0.010239	0.149732	0.836854	
6211000	-76.896717	574	18.034730	6.899691	32.735723	3.711445	22.489662	14.312089	1.466067	4.422226	0.232542	0.116474	0.119627	0.531357	0.054019	0.031074	0.077693	0.837214	
6212000	-74.629083	486	2.264347	0.449536	13.502026	13.402215	1.149582	7.715421	3.425490	1.340049	0.292819	0.128380	0.107282	0.471519	0.004091	0.039380	0.217841	0.738688	
6213000	-76.356454	287	1.291779	0.616705	1.294121	21.731312	5.124333	16.851891	3.546197	3.051093	0.579527	0.064491	0.098391	0.257592	0.025871	0.157280	0.125384	0.691465	
6214000	-76.258538	819	2.959897	0.996035	9.930445	13.575559	4.500501	15.026055	2.256382	3.449834	0.268807	0.123301	0.118678	0.489214	0.023041	0.080330	0.130023	0.766605	
6215000	-75.831695	800	8.053710	0.329764	11.481940	4.169341	5.678475	13.556011	1.125320	4.998182	0.238352	0.120560	0.122192	0.518896	0.009066	0.021805	0.120857	0.848272	
6216000	-77.043795	481	9.334981	0.897199	13.653009	3.591976	7.239974	16.953508	1.966049	2.853585	0.232002	0.117338	0.122641	0.528019	0.004846	0.010608	0.111413	0.873133	
6217000	-77.486382	800	5.344054	5.487726	8.888042	14.090136	8.830603	6.743638	3.435772	3.529992	0.240648	0.121250	0.120705	0.517397	0.111427	0.119139	0.077892	0.691542	
6218000	-76.388372	535	5.640443	0.524161	24.375557	6.037084	1.935122	18.568891	2.994184	6.971599	0.198668	0.105692	0.133016	0.562624	0.005741	0.014698	0.195641	0.783919	
6219000	-75.059558	44	0.016119	0.462147	6.736488	11.699739	4.061520	1.638268	2.598394	1.218818	0.080201	0.136269	0.108244	0.675286	0.000005	0.079401	0.003264	0.917330	
6220000	-74.123811	61	1.674453	0.077940	0.493085	35.158101	10.255827	7.948018	4.008148	4.045377	0.263041	0.115791	0.125515	0.495654	0.026447	0.186045	0.055736	0.731772	
6221000	-77.020354	13	11.049827	2.105098	11.693266	3.454243	6.381822	12.792194	1.754792	2.876021	0.238767	0.119713	0.121736	0.519783	0.036025	0.028440	0.123240	0.812295	
6222000	-77.386819	908	0.649581	4.556088	9.332268	3.122778	2.581184	16.781468	2.553611	2.269260	0.253651	0.128614	0.117476	0.500259	0.070782	0.026231	0.170942	0.732045	
6223000	-72.789032	935	2.022288	0.093730	7.187504	3.008300	1.947844	6.180832	2.042431	1.420118	0.211234	0.122668	0.125852	0.540247	0.001011	0.015829	0.128785	0.854375	
6224000	-75.530859	125	4.616650	2.762218	11.352607	1.156444	2.577814	9.487170	1.635305	3.341585	0.255733	0.128497	0.118160	0.497610	0.057211	0.020304	0.153427	0.769058	
6225000	-73.212178	699	0.779074	0.527429	7.075618	0.150421	0.680598	10.055340	2.156955	2.329992	0.263905	0.119185	0.112528	0.504382	0.002416	0.000245	0.223823	0.773516	
6226000	-74.453238	802	0.447933	0.458590	9.228861	4.242627	0.541625	9.479521	3.895648	0.918806	0.292833	0.132439	0.109152	0.465576	0.004938	0.006098	0.644523	0.344441	
6227000	-74.148773	310	0.415493	0.042313	9.247722	12.881322	4.414927	5.920382	2.529602	2.428402	0.134738	0.123987	0.129919	0.611356	0.000177	0.057049	0.037965	0.904809	
6228000	-75.054251	449	1.099862	0.212639	5.600913	3.267587	5.564703	19.011015	2.279688	2.239292	0.197758	0.124764	0.127180	0.550298	0.000757	0.016640	0.143464	0.839140	
6229000	-78.012857	309	3.458671	12.570802	7.976774	5.448762	13.420134	4.017129	1.979021	0.639692	0.272203	0.127648	0.132922	0.467226	0.048789	0.075946	0.038169	0.837096	
6230000	-74.546740	682	3.695123	0.025629	9.951669	7.406847	6.759370	3.857456	2.367440	1.648780	0.219309	0.118811	0.117054	0.544826	0.004284	0.041141	0.021258	0.933317	
6231000	-76.345713	568	0.228418	0.810699	1.873759	16.249213	12.033788	12.789886	2.382137	4.553935	0.189619	0.131433	0.119271	0.559677	0.000782	0.205697	0.037883	0.755638	
6232000	-79.668369	529	3.057269	8.282204	3.195972	14.195092	15.071600	11.646009	5.905636	3.283934	0.245961	0.120506	0.122111	0.511422	0.145155	0.139616	0.094675	0.620554	
6233000	-75.121593	538	2.795991	0.787377	4.751937	13.982713	3.984645	4.996845	6.746942	1.470598	0.267920	0.118829	0.123531	0.489720	0.028266	0.130100	0.064331	0.777303	
6234000	-75.689994	744	1.672822	2.370552	9.745486	0.578788	3.965752	42.358247	2.652198	8.067779	0.233541	0.113652	0.124315	0.528492	0.022496	0.003491	0.181598	0.792414	
6235000	-73.365024	709	4.520075	0.158201	16.496523	0.036364	6.086115	7.333304	1.642469	2.253469	0.040143	0.019232	0.143258	0.797367	0.000003	0.000002	0.030726	0.969270	
6236000	-74.599840	279	0.506276	1.423450	9.941005	7.069020	2.949643	12.229789	3.887869	1.730348	0.233445	0.120377	0.122789	0.523390	0.007778	0.033161	0.170273	0.788788	
6237000	-72.261419	591	1.464312	0.109641	2.965283	10.186499	5.807303	7.267525	1.783653	2.735381	0.360445	0.107001	0.135398	0.397156	0.017199	0.158522	0.076165	0.748113	
6238000	-75.709119	958	1.464685	6.150655	3.175891	9.868060	14.828481	8.470864	1.872423	2.962973	0.259599	0.118467	0.125931	0.496002	0.059696	0.154804	0.071356	0.714145	
6239000	-75.014203	514	1.033779	2.708053	7.643835	2.693382	7.595031	5.634509	1.699177	2.423908	0.206654	0.110493	0.118746	0.564107	0.003392	0.012288	0.036848	0.947472	
6240000	-76.952023	555	7.512711	3.003974	18.579802	2.772963	0.906879	32.661262	3.405603	6.830998	0.236374	0.118086	0.123224	0.522315	0.040398	0.018272	0.193721	0.747609	
6241000	-73.920582	864	0.671562	0.110863	5.009754	16.832487	2.936442	11.491114	3.949923	1.632359	0.404879	0.108757	0.104291	0.382073	0.002366	0.117554	0.139728	0.740352	
6242000	-77.639238	33	4.558972	3.108683	34.599337	22.512271	7.501183	23.508866	4.872535	2.272224	0.238777	0.120418	0.121676	0.519130	0.088863	0.084505	0.137746	0.688885	
6243000	-74.801700	680	0.118609	0.334440	8.939253	9.229042	4.135044	10.006561	3.004562	3.187468	0.112665	0.117046	0.137147	0.633142	0.000338	0.048262	0.102619	0.848781	
6244000	-77.892876	838	6.783395	0.222980	4.300718	26.594499	26.111490	15.539727	4.923166	7.019817	0.241490	0.121458	0.120943	0.516109	0.170658	0.140763	0.099371	0.589207	
6245000	-76.094012	432	3.343970	1.749198	12.467743	9.569463	4.118340	10.355061	2.941758	1.882724	0.242880	0.121421	0.121302	0.514397	0.025478	0.056072	0.128278	0.790171	
6246000	-72.307820	909	0.192018	0.172988	7.327743	3.678728	1.109133	4.210021	2.531900	1.510993	0.106218	0.144232	0.109517	0.640033	0.000099	0.018302	0.064429	0.917170	
6247000	-76.517590	913	7.531669	1.051688	11.330819	2.709312	5.821826	4.090910	0.951890	1.198324	0.273816	0.133607	0.129010	0.463567	0.003217	0.010492	0.029867	0.956424	
6248000	-75.876697	258	2.348774	1.053727	3.365991	7.500011	1.842558	7.082680	3.485874	2.670077	0.359428	0.120252	0.105157	0.415162	0.033395	0.102924	0.138419	0.725262	
6249000	-75.268383	9	7.941936	0.771469	15.635264	3.653780	0.803326	20.945459	2.726286	5.865024	0.231625	0.117075	0.124350	0.526950	0.005723	0.008900	0.212117	0.773260	
6250000	-77.206144	855	3.829416	4.953056	1.783038	35.515320	13.957418	2.267949	4.328966	1.920443	0.272488	0.111974	0.138769	0.476769	0.087798	0.168003	0.035614	0.708586	
6251000	-75.990961	40	2.938252	1.606849	5.666498	19.382874	7.302262	22.912455	3.967857	8.643521	0.243983	0.121105	0.121139	0.513773	0.064577	0.132182	0.128380	0.674862	
6252000	-75.019750	684	12.307694	0.476724	20.486972	6.973622	1.572347	30.083151	3.320069	5.486670	0.239183	0.120200	0.122060	0.518558	0.023050	0.033157	0.187688	0.756105	
6253000	-76.157978	182	0.137639	0.705954	3.885825	3.617186	12.844131	2.230961	1.333530	1.440570	0.094031	0.136136	0.074584	0.695249	0.000022	0.017560	0.003726	0.978692	
6254000	-76.803303	5	13.331370	3.163697	27.633384	4.806114	8.906723	1.228832	0.968790	1.674361	0.230764	0.116933	0.114620	0.537682	0.009101	0.027946	0.008688	0.954265	
6255000	-76.047444	31	0.353573	0.321070	3.918386	8.282996	9.316825	8.000561	1.689544	1.543431	0.216134	0.128972	0.125962	0.528932	0.000149	0.065388	0.025198	0.909265	
6256000	-76.864894	401	1.657467	0.715238	4.874447	9.656154	2.378445	16.369000	1.399077	4.645907	0.522153	0.119385	0.078522	0.279940	0.016204	0.102453	0.148412	0.732931	
6257000	-76.017347	813	0.863632	1.462624	10.743098	1.163779	4.568369	7.113737	0.994125	1.344245	0.272957	0.135647	0.124167	0.467228	0.005885	0.006590	0.083602	0.903922	
6258000	-76.953725	91	1.019276	2.102739	7.167586	17.833298	0.540505	12.371870	9.523165	3.881881	0.261401	0.121377	0.115676	0.501546	0.058691	0.108934	0.193342	0.639033	
6259000	-78.767157	871	3.509840	1.528846	35.057963	5.688999	14.758159	1.848353	1.787298	1.338518	0.130940	0.081584	0.077334	0.710142	0.002166	0.011700	0.005753	0.980381	
6260000	-74.044875	16	0.204644	1.226825	9.406086	7.290285	0.031558	18.801405	3.187535	4.798588	0.347383	0.139835	0.093069	0.419713	0.016012	0.044071	0.205447	0.734469	
6261000	-76.427200	653	0.033044	1.131404	1.782353	32.037858	5.187360	13.389365	9.446230	4.414096	0.330733	0.105357	0.120218	0.443692	0.001595	0.172543	0.079651	0.746210	
6262000	-77.892051	953	2.429096	8.255608	2.839962	15.616496	29.716627	8.850253	3.723253	4.957215	0.234659	0.123674	0.118268	0.523399	0.051210	0.193306	0.041640	0.713844	
6263000	-78.898933	359	0.060958	14.811183	10.878497	2.089517	22.350877	3.583195	1.530696	1.073011	0.226232	0.114402	0.114837	0.544529	0.010915	0.012311	0.016806	0.959968	
6264000	-78.215916	130	10.613515	8.162609	7.636563	11.896680	15.750049	4.755068	2.001571	3.958316	0.242304	0.121224	0.121136	0.515335	0.195945	0.124510	0.093394	0.586152	
6265000	-77.275235	574	3.704494	7.227887	22.494840	0.477662	7.295867	2.808251	1.826987	1.788089	0.193817	0.094084	0.108360	0.603739	0.003896	0.001748	0.015099	0.979257	
6266000	-74.815591	64	3.005819	0.170293	14.810906	1.405103	1.563199	6.310227	1.277151	0.974357	0.265107	0.133573	0.118421	0.482899	0.000240	0.001531	0.168252	0.829977	
6267000	-76.923456	760	1.490894	1.949100	5.949191	44.174766	4.721335	1.029685	10.833299	1.117004	0.237559	0.123617	0.113556	0.525267	0.008593	0.167182	0.002883	0.821342	
6268000	-73.861597	880	1.994322	0.178423	15.591811	0.271642	3.570714	23.461372	2.141734	3.353013	0.090160	0.046205	0.160966	0.702670	0.000059	0.000059	0.169143	0.830739	
6269000	-74.240765	627	0.309544	0.183822	6.409614	1.714416	0.980093	3.354640	1.866770	1.790632	0.136475	0.155830	0.098031	0.609664	0.000219	0.010521	0.060005	0.929255	
6270000	-76.859260	991	4.047375	1.249238	10.318571	1.989440	4.554162	13.421216	0.906996	2.151712	0.308856	0.150576	0.112025	0.428543	0.005536	0.006740	0.132519	0.855204	
6271000	-74.429242	15	2.944216	0.132910	11.379170	9.152835	2.360080	8.858051	2.740381	1.999832	0.284684	0.129469	0.113918	0.471930	0.002737	0.035316	0.147973	0.813974	
6272000	-75.724759	251	1.770501	1.733586	7.826027	11.258584	2.014303	14.246358	4.467633	4.942272	0.277686	0.123974	0.114112	0.484229	0.019518	0.069018	0.174205	0.737259	
6273000	-78.418091	204	0.402732	1.296087	8.595865	2.496287	3.953348	3.220486	1.132901	3.395986	0.174870	0.103912	0.122462	0.598756	0.001321	0.018984	0.026572	0.953123	
6274000	-74.940144	538	2.865386	2.626236	8.498561	15.044454	5.735942	7.917934	6.408451	1.821502	0.239515	0.121233	0.121121	0.518131	0.048654	0.110858	0.090409	0.750079	
6275000	-76.907799	856	3.014704	2.186875	11.608465	1.944695	13.971558	5.739460	0.445455	2.910543	0.187332	0.099622	0.110385	0.602662	0.001140	0.004393	0.018584	0.975882	
6276000	-76.646416	761	5.305339	1.215876	7.296372	5.395683	13.448964	4.336360	0.823396	2.048481	0.222793	0.118550	0.114261	0.544396	0.008921	0.036123	0.018779	0.936176	
6277000	-73.632623	260	8.107388	0.848295	23.057900	7.950219	1.432976	13.057652	2.916594	1.845135	0.247868	0.123167	0.119485	0.509480	0.011433	0.021631	0.224226	0.742709	
6278000	-74.765081	301	0.486731	0.993999	8.397697	2.680585	5.220127	15.056565	2.374044	5.060187	0.211238	0.112847	0.126211	0.549705	0.015328	0.027621	0.148766	0.808286	
6279000	-74.197859	539	12.716675	0.113255	23.867285	5.684334	0.111922	12.145993	3.143720	2.481966	0.238926	0.120325	0.120406	0.520344	0.003586	0.010673	0.267143	0.718599	
6280000	-74.201096	112	4.133710	0.315094	17.421365	13.504605	1.877059	6.608944	2.646141	2.254585	0.306082	0.132583	0.107823	0.453511	0.015292	0.065458	0.106524	0.812726	
6281000	-83.199365	893	6.995576	7.632040	7.953918	12.606247	1.716164	32.197990	7.015315	1.934509	0.242593	0.121258	0.121157	0.514993	0.268405	0.127224	0.113363	0.491008	
6282000	-77.151156	389	2.980138	6.009734	14.389734	11.997070	7.949131	11.633418	7.143723	1.798306	0.239309	0.120652	0.121266	0.518773	0.114401	0.093635	0.117148	0.674816	
6283000	-77.427456	235	6.579564	6.055497	44.370295	12.401332	5.994734	28.828203	4.511072	3.210626	0.241963	0.121028	0.121313	0.515696	0.184299	0.097741	0.133792	0.584169	
6284000	-78.636433	96	6.448969	3.345328	9.943828	14.385289	8.203856	21.269008	7.599275	5.793146	0.242091	0.121189	0.121239	0.515481	0.158706	0.113345	0.127736	0.600214	
6285000	-78.443837	373	0.704840	6.348268	8.536300	12.468833	5.218334	16.757036	5.803875	4.746455	0.242953	0.121264	0.121148	0.514635	0.151686	0.110644	0.132002	0.605668	
6286000	-74.489913	265	0.173676	1.392278	14.076915	0.885935	2.591850	24.630838	2.137359	2.841573	0.249586	0.123718	0.119599	0.507098	0.012239	0.004286	0.182566	0.800909	
6287000	-74.316433	524	1.388579	0.812818	14.428189	2.993933	2.778492	13.286151	1.861616	3.274891	0.254611	0.127694	0.118676	0.499020	0.001409	0.005106	0.145251	0.848234	
6288000	-76.395215	261	5.135758	3.548598	11.533528	21.042096	11.223285	11.521197	6.032784	3.906463	0.239115	0.121277	0.120752	0.518856	0.134937	0.121939	0.102478	0.640646	
6289000	-78.140546	922	9.238908	5.199971	17.231083	0.001054	6.101129	18.797746	1.158347	8.010562	0.235617	0.116539	0.122652	0.525192	0.041916	0.006864	0.146692	0.804528	
6290000	-74.676377	303	2.070032	0.392146	19.174756	2.486068	1.073509	6.979847	2.143005	3.052823	0.191798	0.102367	0.131348	0.574488	0.001846	0.006667	0.137501	0.853987	
6291000	-76.628653	572	0.830538	1.793482	4.150987	19.562921	8.436816	18.951845	4.525152	3.293225	0.323717	0.111401	0.119997	0.444886	0.012698	0.137994	0.099586	0.749722	
6292000	-77.447837	672	7.547496	0.714012	17.260116	3.568280	2.178575	16.851114	1.023607	4.037991	0.376404	0.174508	0.089822	0.359265	0.014782	0.020020	0.171776	0.793421	
6293000	-79.909860	544	8.557225	2.811294	7.781374	10.415579	8.539622	9.509128	5.194232	1.267258	0.244667	0.121409	0.121590	0.512335	0.167439	0.110877	0.115537	0.606147	
6294000	-75.986131	62	10.702102	3.445466	23.984225	0.299074	7.345750	7.376634	1.665356	1.821715	0.194671	0.094695	0.122533	0.588101	0.007874	0.002212	0.062209	0.927705	
6295000	-76.020024	930	7.128881	5.119789	1.609400	26.073637	14.102623	3.126072	3.960899	3.874847	0.243107	0.120876	0.121821	0.514196	0.211443	0.136342	0.094519	0.557696	
6296000	-74.350254	93	2.132657	0.705589	12.977037	10.741992	7.059184	8.366747	2.803074	2.115866	0.207563	0.117827	0.121849	0.552761	0.009754	0.065708	0.076335	0.848204	
6297000	-75.825360	306	3.504067	0.291172	5.172439	10.159777	2.879270	12.052206	3.671104	7.348950	0.260469	0.121520	0.118697	0.499314	0.018963	0.092221	0.146537	0.742280	
6298000	-74.505516	213	3.166037	0.974989	15.486999	11.038007	1.653098	6.284921	3.017485	1.564705	0.260053	0.125973	0.113081	0.500894	0.011452	0.048010	0.118886	0.821651	
6299000	-78.058018	947	16.591492	0.027654	18.698287	9.554791	5.286512	9.760712	0.837756	5.941980	0.250344	0.123574	0.120942	0.505141	0.112629	0.085228	0.130356	0.671787	
6300000	-76.759065	449	9.750784	8.017550	18.733312	8.916813	13.471886	1.505567	3.849676	0.529789	0.225857	0.117702	0.111555	0.544886	0.035135	0.056236	0.014024	0.894604	
6301000	-75.511611	648	2.895131	0.483482	8.862201	8.478389	3.300476	11.053098	1.604654	2.755411	0.342908	0.134957	0.109431	0.412704	0.008691	0.051972	0.139889	0.799447	
6302000	-75.522657	425	11.939860	2.220139	19.072227	5.430290	12.409468	3.866232	2.258337	1.059841	0.229044	0.116623	0.116401	0.537932	0.022590	0.031394	0.027193	0.918823	
6303000	-78.321597	515	3.702938	5.858898	13.654431	21.981018	7.909714	34.174365	3.683088	8.754316	0.244481	0.121371	0.120978	0.513169	0.178035	0.115867	0.128521	0.577576	
6304000	-76.204049	175	7.355687	3.533831	16.946396	11.124025	10.662057	33.742417	2.613728	5.707231	0.242827	0.121322	0.121169	0.514682	0.115254	0.083789	0.133907	0.667050	
6305000	-76.505538	539	1.632195	1.727195	14.439429	9.293758	6.454131	10.934936	1.479854	1.961977	0.298447	0.132737	0.121107	0.447710	0.004219	0.031409	0.078853	0.885519	
6306000	-74.870632	461	6.187929	0.506080	9.463945	5.326416	4.405645	4.328795	2.351527	0.962082	0.260423	0.126903	0.124089	0.488585	0.016151	0.049859	0.080861	0.853129	
6307000	-78.690863	270	5.618289	9.852045	2.522857	15.557253	15.767511	7.631758	4.531575	4.591613	0.242583	0.121152	0.121286	0.514980	0.200766	0.136186	0.102229	0.560820	
6308000	-77.833161	186	7.063176	1.794245	15.097730	9.665523	14.383628	9.424600	3.220070	2.903401	0.227658	0.118355	0.118438	0.535549	0.062718	0.077636	0.078026	0.781619	
6309000	-75.626333	70	14.517365	1.119696	22.640385	2.281983	4.354257	1.867329	1.493584	1.755569	0.217285	0.110644	0.109634	0.562437	0.001471	0.004344	0.005629	0.988555	
6310000	-78.343791	113	1.799292	6.589408	16.907428	4.008096	9.190524	8.864477	1.389322	2.356238	0.239811	0.120019	0.121041	0.519129	0.033549	0.025407	0.072484	0.868560	
6311000	-74.638210	820	1.235753	0.114046	6.518308	0.371638	0.568164	11.222410	1.882848	1.470245	0.128021	0.072795	0.151653	0.647532	0.009539	0.007006	0.249970	0.733485	
6312000	-74.692477	599	3.128352	0.707146	10.439088	3.365977	4.661761	12.957474	1.907336	5.668303	0.209755	0.111901	0.126707	0.551637	0.003010	0.011442	0.129261	0.856287	
6313000	-75.806248	45	1.520023	6.795856	3.735513	29.134828	13.883268	3.033839	6.372335	1.602519	0.251416	0.119162	0.125271	0.504151	0.019520	0.169756	0.016352	0.794371	
6314000	-77.795912	367	4.190032	1.475074	23.372004	7.959530	23.134057	0.829520	2.075065	1.341220	0.175940	0.104708	0.087195	0.632157	0.008831	0.034914	0.004597	0.951658	
6315000	-75.393870	827	2.792356	0.170806	36.423903	1.025578	5.102883	7.476036	1.362760	2.225380	0.082869	0.045596	0.145107	0.726428	0.000053	0.000392	0.051881	0.947673	
6316000	-76.564757	815	4.688408	0.234029	3.733663	9.858497	6.196743	9.530380	1.435028	5.172840	0.254883	0.120127	0.122040	0.502950	0.047861	0.134748	0.087421	0.729969	
6317000	-76.248835	754	6.660414	0.027200	9.413694	7.129981	3.204107	9.854819	0.617541	3.797276	0.366743	0.145959	0.107105	0.380193	0.027187	0.066244	0.169074	0.737496	
6318000	-77.874606	957	0.469837	2.843632	0.186037	36.502443	23.588702	6.026559	6.239603	4.409705	0.168299	0.143511	0.095933	0.592257	0.005225	0.209381	0.017317	0.768078	
6319000	-75.105677	896	0.806305	0.699816	7.442233	32.981819	0.366799	11.204426	9.794147	3.046880	0.336151	0.115049	0.099422	0.449378	0.010072	0.124950	0.191083	0.673895	
6320000	-75.083329	315	2.971119	0.209255	11.135000	1.469048	1.292772	22.960237	2.330496	5.370218	0.153638	0.088855	0.144784	0.612723	0.001081	0.003557	0.199817	0.795545	
6321000	-74.668303	70	6.777285	1.116599	15.096913	1.324696	4.263661	10.582137	2.559761	2.235137	0.189011	0.095429	0.132770	0.582790	0.002495	0.002206	0.125121	0.870178	
6322000	-74.549459	537	0.594106	0.065325	3.940465	20.357160	7.467602	10.045150	6.457050	2.189008	0.214040	0.125856	0.126321	0.533783	0.000860	0.146963	0.056281	0.795895	
6323000	-74.911015	622	2.494320	0.658060	7.443881	5.451023	3.027669	11.784620	3.248966	1.575239	0.254976	0.125523	0.118932	0.500570	0.004898	0.026137	0.182941	0.786024	
6324000	-73.035206	754	0.357239	0.256259	1.628294	10.160975	6.515930	8.238104	4.433748	3.429107	0.272604	0.113985	0.126935	0.486475	0.001751	0.158674	0.064673	0.774902	
6325000	-78.552123	606	4.551364	4.375149	17.476593	25.347320	8.138245	14.979914	3.186091	4.636573	0.244137	0.121322	0.121234	0.513307	0.134639	0.113245	0.117586	0.634530	
6326000	-76.803337	449	1.628249	1.920414	10.183889	33.349883	1.475313	10.869433	10.200405	4.212720	0.259840	0.120689	0.117251	0.502219	0.042233	0.124512	0.163195	0.670060	
6327000	-76.741762	646	1.625730	3.297377	13.377469	0.187067	4.818117	7.942950	2.202347	0.011995	0.345028	0.187549	0.111060	0.356363	0.104905	0.010292	0.688087	0.196716	
6328000	-79.659218	442	2.136443	1.479286	3.654416	5.056687	0.656934	15.803407	2.065717	6.461336	0.496837	0.147674	0.065668	0.289821	0.052053	0.067848	0.170634	0.709465	
6329000	-75.685646	454	18.660885	0.162505	28.038723	3.193390	3.977315	8.579317	1.237061	3.561733	0.244994	0.122609	0.122735	0.509661	0.022123	0.028860	0.133219	0.815799	
6330000	-77.534403	597	13.435073	2.697665	10.356915	7.448044	14.618002	3.823095	0.923113	3.355134	0.235521	0.119874	0.117444	0.527161	0.107356	0.086121	0.054320	0.752203	
6331000	-75.811376	131	1.980367	0.168033	15.045655	19.124106	0.264111	11.675170	7.753832	1.932183	0.186209	0.116736	0.140360	0.556695	0.005612	0.044725	0.439252	0.510410	
6332000	-73.574928	805	3.913289	0.100405	19.228426	6.405888	0.736742	39.857118	2.872723	9.298556	0.225730	0.117917	0.125027	0.531325	0.006410	0.024349	0.192272	0.776968	
6333000	-75.344399	483	2.809051	1.174274	17.288529	3.450066	3.234491	27.801352	3.666729	4.791595	0.197433	0.103356	0.133153	0.566058	0.005819	0.008167	0.188971	0.797043	
6334000	-75.755831	584	3.227830	0.899459	5.307773	19.431471	8.791601	4.484571	6.664285	1.702248	0.254801	0.119187	0.125593	0.500419	0.046405	0.148388	0.039247	0.765960	
6335000	-74.673677	500	1.646277	0.841926	3.612967	5.462560	9.705296	3.583452	2.686978	1.412204	0.233180	0.122614	0.119439	0.524767	0.003837	0.060387	0.021127	0.914649	
6336000	-74.688270	909	0.947773	0.854220	6.910192	3.576322	1.299399	42.738670	1.932962	7.184736	0.389812	0.165281	0.084441	0.360466	0.007966	0.021629	0.185571	0.784834	
6337000	-76.093432	783	0.886663	1.984619	14.718622	4.140660	6.871851	15.428556	2.104535	3.180589	0.226171	0.115673	0.123256	0.534900	0.008222	0.015816	0.111976	0.863986	
