Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/uto-iroquois-high.polygyny.bttrees
Data File Name:                  ./data/uto-iroquois-high.polygyny.btdata
Log File Name:                   ./output/uto-iroquois-high.polygyny-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            21333409
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/uto-iroquois-high.polygyny-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.727273,0.090909,0.090909,0.090909)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.121603
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
81000	-15.964622	592	1	4	'0 Z Z 0 Z Z 0 0 	D	35.649024	0.000000	0.000000	35.649024	0.000000	0.000000	35.649024	35.649024	1.000000	0.000000	0.000000	0.000000	
82000	-16.711968	572	1	2	'0 0 Z 0 Z 0 0 0 	D	22.330049	22.330049	0.000000	22.330049	0.000000	22.330049	22.330049	22.330049	1.000000	0.000000	0.000000	0.000000	
83000	-16.371725	773	1	2	'0 0 Z Z 0 0 0 0 	D	26.805718	26.805718	0.000000	0.000000	26.805718	26.805718	26.805718	26.805718	0.999799	0.000000	0.000201	0.000000	
84000	-16.603725	65	1	1	'0 0 0 0 0 0 Z 0 	D	17.124893	17.124893	17.124893	17.124893	17.124893	17.124893	0.000000	17.124893	0.998325	0.000402	0.001272	0.000001	
85000	-17.702195	944	1	0	'0 0 0 0 0 0 0 0 	I	16.163408	16.163408	16.163408	16.163408	16.163408	16.163408	16.163408	16.163408	0.998946	0.000270	0.000782	0.000002	
86000	-15.665903	117	1	4	'0 Z 0 0 Z Z Z 0 	D	40.607791	0.000000	40.607791	40.607791	0.000000	0.000000	0.000000	40.607791	0.993940	0.006060	0.000000	0.000000	
87000	-17.570068	852	1	1	'0 0 Z 0 0 0 0 0 	D	25.232328	25.232328	0.000000	25.232328	25.232328	25.232328	25.232328	25.232328	0.998205	0.000000	0.001793	0.000001	
88000	-18.170370	345	1	1	'0 0 0 Z 0 0 0 0 	D	14.051834	14.051834	14.051834	0.000000	14.051834	14.051834	14.051834	14.051834	0.999819	0.000094	0.000086	0.000000	
89000	-16.956666	230	1	2	'0 0 0 Z Z 0 0 0 	D	39.379671	39.379671	39.379671	0.000000	0.000000	39.379671	39.379671	39.379671	0.999192	0.000803	0.000000	0.000005	
90000	-17.036412	940	1	1	'0 0 0 Z 0 0 0 0 	D	26.126040	26.126040	26.126040	0.000000	26.126040	26.126040	26.126040	26.126040	0.999753	0.000143	0.000104	0.000000	
91000	-18.441852	528	1	1	'0 0 0 Z 0 0 0 0 	D	15.366610	15.366610	15.366610	0.000000	15.366610	15.366610	15.366610	15.366610	0.999021	0.000083	0.000893	0.000003	
92000	-19.262166	501	1	1	'0 0 0 0 0 0 Z 0 	D	13.271561	13.271561	13.271561	13.271561	13.271561	13.271561	0.000000	13.271561	0.989359	0.010618	0.000023	0.000000	
93000	-16.729559	915	1	2	'0 0 0 0 0 0 Z Z 	D	41.317519	41.317519	41.317519	41.317519	41.317519	41.317519	0.000000	0.000000	0.999253	0.000667	0.000080	0.000000	
94000	-16.110996	455	1	1	'0 0 0 0 0 0 Z 0 	D	36.714759	36.714759	36.714759	36.714759	36.714759	36.714759	0.000000	36.714759	0.995637	0.001081	0.003275	0.000007	
95000	-17.113541	798	1	2	'0 0 Z Z 0 0 0 0 	D	20.940686	20.940686	0.000000	0.000000	20.940686	20.940686	20.940686	20.940686	0.999949	0.000000	0.000051	0.000000	
96000	-17.624571	334	1	3	'0 0 Z Z Z 0 0 0 	D	27.097175	27.097175	0.000000	0.000000	0.000000	27.097175	27.097175	27.097175	1.000000	0.000000	0.000000	0.000000	
97000	-16.312338	736	1	2	'0 0 Z 0 Z 0 0 0 	D	39.509983	39.509983	0.000000	39.509983	0.000000	39.509983	39.509983	39.509983	1.000000	0.000000	0.000000	0.000000	
98000	-18.681434	680	1	2	'0 0 0 0 0 0 Z Z 	D	15.828584	15.828584	15.828584	15.828584	15.828584	15.828584	0.000000	0.000000	0.999614	0.000028	0.000358	0.000000	
99000	-15.913176	81	1	4	'0 Z Z 0 Z Z 0 0 	D	45.551509	0.000000	0.000000	45.551509	0.000000	0.000000	45.551509	45.551509	1.000000	0.000000	0.000000	0.000000	
100000	-16.645414	47	1	2	'0 0 0 0 0 0 Z Z 	D	25.607915	25.607915	25.607915	25.607915	25.607915	25.607915	0.000000	0.000000	0.996981	0.000072	0.002947	0.000000	
101000	-16.260084	544	1	2	'0 0 Z Z 0 0 0 0 	D	30.570009	30.570009	0.000000	0.000000	30.570009	30.570009	30.570009	30.570009	0.998366	0.000000	0.001632	0.000002	
102000	-17.150735	566	1	3	'0 0 Z Z 0 0 Z 0 	D	23.333874	23.333874	0.000000	0.000000	23.333874	23.333874	0.000000	23.333874	0.999740	0.000000	0.000260	0.000000	
103000	-16.458928	48	1	3	'0 0 Z Z 0 0 Z 0 	D	23.392098	23.392098	0.000000	0.000000	23.392098	23.392098	0.000000	23.392098	0.998613	0.000000	0.001385	0.000002	
104000	-18.603717	985	2	1	'1 1 0 0 0 0 Z 0 	D	14.577385	14.577385	8.729585	8.729585	8.729585	8.729585	0.000000	8.729585	0.999270	0.000141	0.000589	0.000000	
105000	-20.673265	693	1	1	'0 0 0 Z 0 0 0 0 	D	6.927561	6.927561	6.927561	0.000000	6.927561	6.927561	6.927561	6.927561	0.999305	0.000089	0.000600	0.000005	
106000	-15.304822	364	1	4	'0 Z 0 0 Z Z Z 0 	D	58.603131	0.000000	58.603131	58.603131	0.000000	0.000000	0.000000	58.603131	0.983365	0.016635	0.000000	0.000000	
107000	-17.916940	619	1	4	'0 Z 0 0 Z Z Z 0 	D	22.966904	0.000000	22.966904	22.966904	0.000000	0.000000	0.000000	22.966904	0.995239	0.004761	0.000000	0.000000	
108000	-15.980011	349	1	4	'0 Z 0 0 Z Z Z 0 	D	35.422184	0.000000	35.422184	35.422184	0.000000	0.000000	0.000000	35.422184	0.987063	0.012937	0.000000	0.000000	
109000	-15.985947	917	1	2	'0 Z 0 0 Z 0 0 0 	D	36.970682	0.000000	36.970682	36.970682	0.000000	36.970682	36.970682	36.970682	0.991059	0.008843	0.000000	0.000097	
110000	-17.000343	161	1	2	'0 Z 0 0 Z 0 0 0 	D	24.300468	0.000000	24.300468	24.300468	0.000000	24.300468	24.300468	24.300468	0.996049	0.003933	0.000000	0.000018	
111000	-17.805740	898	1	1	'0 0 Z 0 0 0 0 0 	D	15.383260	15.383260	0.000000	15.383260	15.383260	15.383260	15.383260	15.383260	0.999107	0.000000	0.000892	0.000000	
112000	-16.739075	902	1	2	'0 0 0 Z 0 0 Z 0 	D	18.704283	18.704283	18.704283	0.000000	18.704283	18.704283	0.000000	18.704283	0.999912	0.000054	0.000033	0.000000	
113000	-18.424775	602	1	1	'0 0 0 Z 0 0 0 0 	D	14.455001	14.455001	14.455001	0.000000	14.455001	14.455001	14.455001	14.455001	0.999699	0.000155	0.000146	0.000000	
114000	-16.991787	915	1	2	'0 0 0 Z Z 0 0 0 	D	25.083293	25.083293	25.083293	0.000000	0.000000	25.083293	25.083293	25.083293	0.999715	0.000285	0.000000	0.000000	
115000	-18.080977	629	1	1	'0 0 0 0 Z 0 0 0 	D	13.183203	13.183203	13.183203	13.183203	0.000000	13.183203	13.183203	13.183203	0.999895	0.000105	0.000000	0.000000	
116000	-16.206962	966	1	1	'0 0 0 0 Z 0 0 0 	D	21.212841	21.212841	21.212841	21.212841	0.000000	21.212841	21.212841	21.212841	0.999875	0.000125	0.000000	0.000000	
117000	-16.819754	896	1	1	'0 Z 0 0 0 0 0 0 	D	42.678476	0.000000	42.678476	42.678476	42.678476	42.678476	42.678476	42.678476	0.956132	0.010644	0.032638	0.000586	
118000	-22.218622	807	1	1	'0 0 0 0 0 0 Z 0 	D	4.882878	4.882878	4.882878	4.882878	4.882878	4.882878	0.000000	4.882878	0.999543	0.000262	0.000196	0.000000	
119000	-18.020751	545	1	1	'0 0 Z 0 0 0 0 0 	D	11.811742	11.811742	0.000000	11.811742	11.811742	11.811742	11.811742	11.811742	0.999419	0.000000	0.000581	0.000000	
120000	-18.773682	857	2	2	'1 0 1 1 Z Z 0 1 	D	26.126214	4.795337	26.126214	26.126214	0.000000	0.000000	4.795337	26.126214	0.996154	0.003846	0.000000	0.000001	
121000	-17.493626	992	1	1	'0 0 0 0 0 0 0 Z 	D	22.065260	22.065260	22.065260	22.065260	22.065260	22.065260	22.065260	0.000000	0.968087	0.031408	0.000448	0.000056	
122000	-16.340386	344	1	3	'0 0 0 Z 0 0 Z Z 	D	40.943118	40.943118	40.943118	0.000000	40.943118	40.943118	0.000000	0.000000	0.998578	0.001103	0.000319	0.000000	
123000	-16.912694	765	1	1	'0 0 0 Z 0 0 0 0 	D	36.841932	36.841932	36.841932	0.000000	36.841932	36.841932	36.841932	36.841932	0.992324	0.000368	0.007179	0.000128	
124000	-15.757967	425	1	3	'0 0 Z Z Z 0 0 0 	D	31.197236	31.197236	0.000000	0.000000	0.000000	31.197236	31.197236	31.197236	1.000000	0.000000	0.000000	0.000000	
