Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.bttrees
Data File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.btdata
Log File Name:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-3ANCrecon-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2804047187
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-3ANCrecon-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.242424,0.121212,0.121212,0.515152)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	5
	ANC5	2	R11_Umbundu G61_Sangu 
	ANC4	2	JD53_Shi G61_Sangu 
	ANC3	2	L11_Pende G61_Sangu 
	ANC2	2	C83_Bushong G61_Sangu 
	ANC1	2	C41_Ngombe G61_Sangu 
Scale Tree:                      0.101827
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Node reconstruction / fossilisation:
	MRCA RecNodeUmbundu ANC5
	MRCA RecNodeShi ANC4
	MRCA RecNodePende ANC3
	MRCA RecNodeBushong ANC2
	MRCA RecNodeNgombe ANC1
Tree Information
     Trees:                      1000
     Taxa:                       66
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RecNodeUmbundu - P(0,0)	RecNodeUmbundu - P(0,1)	RecNodeUmbundu - P(1,0)	RecNodeUmbundu - P(1,1)	RecNodeShi - P(0,0)	RecNodeShi - P(0,1)	RecNodeShi - P(1,0)	RecNodeShi - P(1,1)	RecNodePende - P(0,0)	RecNodePende - P(0,1)	RecNodePende - P(1,0)	RecNodePende - P(1,1)	RecNodeBushong - P(0,0)	RecNodeBushong - P(0,1)	RecNodeBushong - P(1,0)	RecNodeBushong - P(1,1)	RecNodeNgombe - P(0,0)	RecNodeNgombe - P(0,1)	RecNodeNgombe - P(1,0)	RecNodeNgombe - P(1,1)	
5863000	-82.345711	846	1.109246	1.684850	6.742761	5.196012	0.260903	0.130919	0.115508	0.492670	0.000559	0.000457	0.125781	0.873203	0.000919	0.000694	0.134554	0.863833	0.003674	0.002582	0.142509	0.851235	0.075514	0.043743	0.148679	0.732064	0.202082	0.104577	0.128426	0.564915	
5864000	-86.668791	155	4.246746	4.629628	11.410870	4.967806	0.233812	0.116853	0.123728	0.525606	0.070396	0.035482	0.169201	0.724921	0.078207	0.039296	0.167429	0.715069	0.098147	0.049265	0.161887	0.690701	0.141107	0.069558	0.152086	0.637248	0.202763	0.100820	0.133248	0.563169	
5865000	-83.151395	423	4.114606	3.633299	3.363529	3.016367	0.232919	0.119143	0.121156	0.526781	0.007531	0.037122	0.022271	0.933075	0.002439	0.019385	0.014270	0.963906	0.009683	0.037983	0.027731	0.924602	0.073362	0.082072	0.080365	0.764200	0.191036	0.112581	0.115887	0.580496	
5866000	-83.045349	932	1.844275	2.020470	10.568627	5.038146	0.248471	0.124209	0.119510	0.507810	0.002751	0.001430	0.183742	0.812077	0.002375	0.001233	0.184140	0.812252	0.011345	0.005847	0.182666	0.800143	0.097155	0.048146	0.163978	0.690720	0.211481	0.105163	0.130741	0.552615	
5867000	-83.384802	37	3.164189	2.379595	13.149577	7.964096	0.239395	0.119698	0.122078	0.518830	0.028053	0.014272	0.179868	0.777807	0.035856	0.018092	0.178880	0.767172	0.043455	0.021894	0.176932	0.757719	0.117549	0.058949	0.156481	0.667022	0.211041	0.105538	0.130158	0.553263	
5868000	-84.129849	727	14.005000	7.960294	5.279449	3.351236	0.242760	0.121116	0.121380	0.514744	0.127396	0.153195	0.064111	0.655298	0.133987	0.151065	0.067554	0.647394	0.170952	0.141283	0.085705	0.602060	0.212905	0.129564	0.106523	0.551008	0.240933	0.121641	0.120464	0.516962	
5869000	-80.670515	464	0.714364	1.920140	0.953782	1.800134	0.186110	0.102120	0.125665	0.586105	0.000001	0.000196	0.000464	0.999340	0.000022	0.000914	0.002783	0.996281	0.000046	0.001594	0.003391	0.994969	0.007171	0.022010	0.035836	0.934983	0.075207	0.067492	0.099363	0.757938	
5870000	-81.415524	427	2.313412	2.226373	1.281006	2.176730	0.221273	0.127124	0.110754	0.540850	0.000051	0.004649	0.001285	0.994015	0.000051	0.004649	0.001285	0.994015	0.000340	0.011369	0.003467	0.984825	0.019269	0.061395	0.032737	0.886599	0.135406	0.122167	0.085643	0.656784	
5871000	-83.184997	351	0.546342	2.216664	10.120486	4.193773	0.178125	0.088961	0.139732	0.593182	0.000268	0.000125	0.201072	0.798535	0.000038	0.000019	0.193640	0.806304	0.001185	0.000586	0.191742	0.806486	0.035842	0.016784	0.190224	0.757150	0.107933	0.052652	0.163105	0.676310	
5872000	-85.645168	470	17.172134	9.490248	8.977424	6.303816	0.242363	0.121230	0.121181	0.515226	0.214796	0.128883	0.107590	0.548731	0.222030	0.126842	0.111192	0.539937	0.230528	0.124537	0.115334	0.529602	0.237040	0.122739	0.118531	0.521690	0.241134	0.121582	0.120566	0.516718	
5873000	-86.084678	256	46.506134	18.121549	3.784766	3.368237	0.236812	0.122816	0.118406	0.521967	0.082540	0.166893	0.041270	0.709297	0.101913	0.161358	0.050957	0.685772	0.104386	0.160652	0.052193	0.682770	0.155225	0.146126	0.077613	0.621036	0.209028	0.130754	0.104514	0.555704	
5874000	-83.365332	279	6.224818	3.810483	2.629164	3.470716	0.227291	0.125491	0.113687	0.533531	0.013851	0.125101	0.011071	0.849977	0.019649	0.117934	0.016579	0.845838	0.025974	0.125901	0.020098	0.828027	0.081377	0.144330	0.048166	0.726127	0.171899	0.138484	0.087875	0.601742	
5875000	-81.106341	646	0.347292	1.696098	2.423665	3.190115	0.152748	0.086197	0.131293	0.629762	0.000006	0.000060	0.011137	0.988797	0.000007	0.000059	0.014283	0.985651	0.000013	0.000120	0.012667	0.987200	0.006640	0.014237	0.050933	0.928190	0.066353	0.053653	0.111771	0.768223	
5876000	-81.966326	841	2.437750	2.477660	5.448496	4.035868	0.230152	0.116047	0.123689	0.530113	0.005640	0.006610	0.090112	0.897639	0.008712	0.008720	0.103351	0.879217	0.014438	0.013361	0.109661	0.862540	0.080517	0.053446	0.130385	0.735652	0.180757	0.097201	0.129612	0.592431	
5877000	-85.445074	88	2.849614	3.450807	10.771122	8.266898	0.223909	0.111959	0.126498	0.537635	0.032166	0.017160	0.171770	0.778904	0.030970	0.016054	0.176274	0.776703	0.047641	0.024494	0.172783	0.755083	0.077600	0.039463	0.165882	0.717054	0.175621	0.087930	0.140121	0.596327	
5878000	-88.350108	942	11.270053	5.437958	8.107857	2.587276	0.244967	0.120492	0.122477	0.512064	0.297215	0.104830	0.149563	0.448392	0.289439	0.105592	0.147519	0.457449	0.272044	0.111689	0.137262	0.479005	0.295319	0.106415	0.147251	0.451014	0.267962	0.114136	0.133731	0.484172	
5879000	-82.778441	980	0.720040	1.811075	6.987632	5.384696	0.190170	0.095352	0.135782	0.578696	0.000694	0.000557	0.127668	0.871081	0.000643	0.000462	0.140444	0.858450	0.003089	0.001985	0.153953	0.840973	0.028262	0.016456	0.160574	0.794709	0.119951	0.061646	0.152449	0.665955	
5880000	-83.734336	65	3.636045	2.747515	4.710384	3.987148	0.234370	0.120024	0.120607	0.524999	0.014095	0.024315	0.061391	0.900199	0.017044	0.025800	0.069024	0.888132	0.021113	0.030303	0.071863	0.876722	0.084622	0.073820	0.100006	0.741552	0.196398	0.112291	0.117974	0.573337	
5881000	-83.953573	293	5.073763	4.637206	5.481402	3.715625	0.237951	0.119490	0.121965	0.520593	0.033585	0.049546	0.067719	0.849150	0.037774	0.050166	0.074221	0.837839	0.042988	0.054602	0.076499	0.825911	0.145095	0.094633	0.116182	0.644090	0.218120	0.113706	0.123029	0.545145	
5882000	-82.416301	431	0.941426	2.680283	2.134480	2.634292	0.144234	0.082952	0.131241	0.641573	0.000087	0.000859	0.011751	0.987304	0.000046	0.000496	0.010766	0.988692	0.000541	0.003195	0.019463	0.976800	0.006446	0.013703	0.051384	0.928467	0.057596	0.048320	0.109960	0.784125	
5883000	-84.008135	474	9.770933	5.595582	11.437374	4.465459	0.242522	0.121201	0.121244	0.515033	0.238664	0.116928	0.124779	0.519628	0.235199	0.115341	0.125661	0.523799	0.239143	0.118851	0.122886	0.519119	0.244549	0.119887	0.123004	0.512560	0.244173	0.120869	0.121928	0.513030	
5884000	-83.995814	362	1.425315	1.966683	19.487580	10.996423	0.238472	0.119236	0.122341	0.519951	0.003281	0.001643	0.189359	0.805717	0.001416	0.000709	0.189970	0.807905	0.011050	0.005526	0.187283	0.796140	0.078181	0.039093	0.168132	0.714594	0.186363	0.093182	0.137229	0.583226	
5885000	-85.211371	855	12.660747	5.644587	6.869475	5.451253	0.241993	0.121344	0.120987	0.515676	0.192921	0.138480	0.094151	0.574448	0.202557	0.132822	0.101104	0.563518	0.206795	0.131456	0.103345	0.558405	0.219837	0.128633	0.109068	0.542461	0.238118	0.122635	0.118871	0.520376	
5886000	-83.694530	959	10.610158	5.855080	2.324712	2.404874	0.234385	0.123516	0.117186	0.524913	0.025251	0.180832	0.012831	0.781085	0.027134	0.178504	0.013956	0.780405	0.024568	0.179150	0.012643	0.783639	0.097900	0.161835	0.049184	0.691082	0.196773	0.134332	0.098328	0.570567	
5887000	-83.328527	78	0.983720	2.589441	13.014013	6.631066	0.194076	0.097038	0.135026	0.573860	0.000460	0.000234	0.187722	0.811585	0.000833	0.000423	0.188035	0.810709	0.009684	0.004875	0.186664	0.798776	0.034992	0.017499	0.180449	0.767060	0.109157	0.054550	0.159362	0.676931	
5888000	-82.333247	666	2.256824	2.656305	0.384189	2.063408	0.127998	0.145125	0.068333	0.658545	0.000020	0.008803	0.000263	0.990913	0.000006	0.005294	0.000124	0.994576	0.002177	0.035525	0.006887	0.955411	0.005936	0.065562	0.009786	0.918716	0.044029	0.123442	0.033528	0.799001	
5889000	-83.613355	164	2.638152	1.892870	2.205063	2.540179	0.265202	0.133176	0.114194	0.487428	0.000239	0.006281	0.004437	0.989043	0.000185	0.004350	0.004953	0.990512	0.002218	0.018448	0.013657	0.965677	0.103342	0.115439	0.074437	0.706782	0.247225	0.148409	0.099035	0.505331	
5890000	-82.859471	560	0.710432	1.637109	3.788725	3.638774	0.200798	0.103322	0.129496	0.566384	0.000151	0.000466	0.036669	0.962714	0.000287	0.000672	0.047745	0.951296	0.001249	0.002169	0.063214	0.933368	0.018820	0.019907	0.096216	0.865057	0.106881	0.067277	0.130047	0.695796	
5891000	-84.125401	333	8.678997	3.976062	0.425275	2.624525	0.101237	0.162743	0.050192	0.685828	0.000186	0.191567	0.000092	0.808155	0.000271	0.181249	0.000144	0.818336	0.000827	0.182514	0.000435	0.816224	0.016343	0.192965	0.007801	0.782891	0.057260	0.178703	0.027755	0.736282	
5892000	-80.337930	253	1.123757	2.638463	1.272993	2.228407	0.185954	0.104338	0.123014	0.586694	0.000010	0.000777	0.001452	0.997762	0.000078	0.001869	0.004870	0.993184	0.000290	0.004559	0.007401	0.987750	0.017201	0.035130	0.051617	0.896051	0.080441	0.069945	0.101254	0.748361	
5893000	-84.264992	519	2.369611	2.734724	13.815931	5.991460	0.221349	0.110671	0.127237	0.540743	0.013375	0.006696	0.186466	0.793464	0.012878	0.006443	0.186705	0.793975	0.030020	0.015018	0.181814	0.773148	0.084377	0.042063	0.166795	0.706765	0.173533	0.086705	0.140989	0.598773	
5894000	-82.226771	973	1.270043	2.258395	14.227521	7.815825	0.201841	0.100920	0.132808	0.564432	0.001878	0.000949	0.188349	0.808825	0.001924	0.000969	0.188733	0.808374	0.004476	0.002253	0.188205	0.805066	0.038642	0.019354	0.179177	0.762826	0.133766	0.066883	0.152257	0.647094	
5895000	-86.081837	779	12.334952	5.847494	13.405922	11.782364	0.242431	0.121215	0.121210	0.515144	0.241826	0.122475	0.119832	0.515866	0.241026	0.121234	0.120889	0.516851	0.241690	0.121132	0.121134	0.516044	0.242778	0.121475	0.121025	0.514722	0.242615	0.121317	0.121148	0.514920	
5896000	-82.754866	434	1.876579	2.175617	8.581205	4.957411	0.229799	0.114881	0.124839	0.530481	0.010110	0.005686	0.170271	0.813934	0.005517	0.003120	0.170702	0.820661	0.013336	0.007360	0.172075	0.807229	0.076365	0.039376	0.164273	0.719986	0.176500	0.088364	0.139879	0.595257	
5897000	-84.887966	854	3.573021	1.809039	0.352555	2.326853	0.124370	0.168069	0.056666	0.650896	0.000077	0.041765	0.000208	0.957950	0.000022	0.022058	0.000117	0.977803	0.003468	0.070527	0.005326	0.920679	0.007390	0.146393	0.004996	0.841222	0.050770	0.215123	0.019832	0.714275	
5898000	-80.656379	306	2.379282	2.044927	2.707900	2.732232	0.235373	0.123708	0.117224	0.523695	0.000918	0.008000	0.013198	0.977884	0.002073	0.010139	0.023198	0.964589	0.002939	0.013628	0.024334	0.959099	0.037556	0.058771	0.063187	0.840486	0.168932	0.115120	0.105405	0.610544	
5899000	-87.299780	154	8.593149	4.576851	12.159635	4.338617	0.242521	0.121232	0.121213	0.515034	0.244507	0.112673	0.130736	0.512084	0.227078	0.109268	0.130380	0.533274	0.236374	0.114053	0.127334	0.522240	0.244004	0.118632	0.124179	0.513185	0.244214	0.121093	0.121712	0.512981	
5900000	-86.732066	926	35.392554	22.239668	7.822911	3.574379	0.242879	0.121082	0.121439	0.514600	0.227221	0.125556	0.113610	0.533613	0.228812	0.125101	0.114406	0.531681	0.240588	0.121737	0.120294	0.517381	0.250176	0.118997	0.125088	0.505739	0.249536	0.119180	0.124768	0.506516	
5901000	-85.032633	690	11.152082	7.195758	1.235256	3.289467	0.180386	0.138937	0.090193	0.590484	0.005621	0.186692	0.002851	0.804836	0.005189	0.186542	0.002636	0.805633	0.009354	0.186107	0.004729	0.799811	0.038989	0.178768	0.019569	0.762673	0.091816	0.164166	0.045933	0.698085	
5902000	-86.839290	601	13.222467	5.231490	5.930155	4.829202	0.241672	0.121431	0.120832	0.516065	0.158393	0.147488	0.077862	0.616258	0.171486	0.142255	0.085238	0.601021	0.176619	0.140507	0.087976	0.594898	0.204461	0.133236	0.101286	0.561018	0.233080	0.124115	0.116318	0.526487	
5903000	-82.498348	345	0.051972	1.744060	3.484889	3.586118	0.030725	0.016123	0.174555	0.778597	0.000001	0.000005	0.031131	0.968862	0.000000	0.000001	0.020842	0.979157	0.000007	0.000017	0.046663	0.953313	0.001235	0.001484	0.088894	0.908387	0.010520	0.006926	0.148953	0.833601	
5904000	-84.302968	516	3.285801	3.626692	9.637371	8.199231	0.230780	0.115398	0.124530	0.529291	0.040242	0.021912	0.166628	0.771218	0.046520	0.024586	0.169130	0.759764	0.086406	0.044527	0.161529	0.707538	0.128445	0.065124	0.151879	0.654552	0.187746	0.094152	0.136453	0.581649	
5905000	-80.181972	806	0.127316	1.821577	1.452819	2.057632	0.054325	0.029433	0.163462	0.752780	0.000001	0.000014	0.004802	0.995183	0.000000	0.000006	0.003716	0.996277	0.000009	0.000097	0.010577	0.989317	0.001103	0.002540	0.048403	0.947954	0.015318	0.012305	0.124218	0.848158	
5906000	-83.472237	123	2.591328	2.668642	9.142408	7.694952	0.227580	0.113810	0.125432	0.533178	0.011414	0.006704	0.163857	0.818025	0.015081	0.008431	0.169768	0.806720	0.027552	0.014837	0.171695	0.785916	0.074871	0.039300	0.162189	0.723640	0.173348	0.087352	0.139932	0.599368	
5907000	-86.875426	538	24.898100	12.336868	8.614240	8.522049	0.242410	0.121216	0.121205	0.515169	0.225311	0.126102	0.112655	0.535932	0.227853	0.125374	0.113928	0.532845	0.232649	0.124004	0.116325	0.527021	0.238337	0.122380	0.119168	0.520115	0.241580	0.121453	0.120790	0.516177	
5908000	-84.239153	113	0.045180	2.779209	7.621158	4.079888	0.017330	0.008654	0.185714	0.788301	0.000000	0.000000	0.162232	0.837767	0.000002	0.000001	0.165308	0.834689	0.000007	0.000004	0.168771	0.831218	0.000513	0.000262	0.187209	0.812016	0.003940	0.001931	0.192474	0.801655	
5909000	-80.854247	293	1.046575	1.780257	1.140003	2.045399	0.272888	0.133747	0.114860	0.478505	0.000002	0.000377	0.000647	0.998975	0.000010	0.000798	0.001511	0.997680	0.000022	0.001432	0.001804	0.996742	0.034740	0.061677	0.056154	0.847429	0.181350	0.121360	0.104257	0.593034	
5910000	-81.946481	429	0.383677	1.391094	7.751170	4.700294	0.221738	0.110863	0.127129	0.540270	0.000061	0.000039	0.156419	0.843482	0.000147	0.000093	0.156678	0.843083	0.001421	0.000829	0.167448	0.830301	0.038047	0.019963	0.172531	0.769460	0.140677	0.070547	0.149883	0.638894	
5911000	-85.163076	850	2.837587	3.903934	5.144253	3.642147	0.222263	0.111924	0.126093	0.539719	0.014849	0.017684	0.086984	0.880483	0.023594	0.022698	0.103921	0.849787	0.041574	0.034265	0.115440	0.808721	0.078882	0.051391	0.133033	0.736694	0.153795	0.082802	0.136901	0.626503	
5912000	-84.551362	391	1.413218	2.956090	17.840080	11.885072	0.193554	0.096777	0.135175	0.574494	0.003536	0.001770	0.189267	0.805427	0.003810	0.001907	0.189264	0.805019	0.010570	0.005287	0.187403	0.796741	0.035545	0.017775	0.180294	0.766385	0.117955	0.058978	0.156774	0.666293	
5913000	-85.037006	476	7.439744	3.704873	6.769317	3.333739	0.244460	0.121078	0.121779	0.512683	0.205047	0.122308	0.110812	0.561832	0.204251	0.117074	0.115576	0.563099	0.206088	0.117496	0.115704	0.560712	0.250236	0.119890	0.124177	0.505698	0.257355	0.120545	0.124884	0.497216	
5914000	-83.273075	860	4.498044	2.493397	3.417182	3.181999	0.238736	0.125320	0.116432	0.519511	0.014573	0.061031	0.025259	0.899137	0.015406	0.052178	0.031300	0.901116	0.060903	0.089743	0.062798	0.786556	0.122629	0.120738	0.080760	0.675872	0.207961	0.132305	0.102960	0.556775	
5915000	-82.967240	289	0.026343	1.886537	7.168195	3.824587	0.010025	0.004995	0.188155	0.796826	0.000000	0.000000	0.151206	0.848793	0.000001	0.000000	0.160907	0.839091	0.000008	0.000005	0.171331	0.828656	0.000540	0.000274	0.187757	0.811429	0.003711	0.001825	0.191975	0.802488	
5916000	-85.740958	450	18.111945	8.173370	5.628624	5.004087	0.241938	0.121351	0.120969	0.515742	0.150571	0.147655	0.075174	0.626600	0.164761	0.143400	0.082382	0.609457	0.173140	0.141001	0.086574	0.599285	0.195941	0.134522	0.097948	0.571589	0.223143	0.126730	0.111563	0.538563	
5917000	-82.048731	546	0.852906	2.130212	2.631682	2.361032	0.182336	0.091639	0.137715	0.588311	0.000096	0.000736	0.015047	0.984121	0.000124	0.000660	0.021683	0.977533	0.000515	0.002075	0.028282	0.969128	0.014093	0.018061	0.081375	0.886472	0.096271	0.058117	0.137917	0.707695	
5918000	-85.623792	310	2.180945	1.898453	6.830983	7.273134	0.251302	0.125761	0.118571	0.504366	0.009027	0.007013	0.129400	0.854560	0.007293	0.004954	0.145812	0.841941	0.014975	0.009744	0.149332	0.825950	0.096035	0.056073	0.142193	0.705699	0.219173	0.112897	0.124188	0.543742	
5919000	-81.366984	563	0.686490	1.874076	7.575098	3.843767	0.198007	0.098821	0.134138	0.569035	0.000877	0.000470	0.179741	0.818912	0.001563	0.000884	0.171867	0.825686	0.004599	0.002501	0.176592	0.816308	0.041713	0.020381	0.182005	0.755901	0.123882	0.060232	0.158957	0.656928	
5920000	-83.495432	231	3.690341	3.576623	8.214137	4.659193	0.237376	0.118672	0.122671	0.521281	0.032813	0.020396	0.150680	0.796112	0.030131	0.018449	0.153341	0.798078	0.057693	0.033163	0.154460	0.754684	0.132857	0.068710	0.147970	0.650463	0.203627	0.101877	0.132218	0.562278	
5921000	-83.659696	196	6.537843	4.715696	2.218161	2.855287	0.225815	0.125410	0.113410	0.535365	0.015178	0.129965	0.011586	0.843270	0.005810	0.114441	0.005224	0.874524	0.021706	0.131949	0.016069	0.830277	0.091034	0.141219	0.054120	0.713627	0.184252	0.133435	0.095353	0.586960	
5922000	-83.553447	880	4.361047	2.765455	5.435289	3.365327	0.243311	0.121440	0.121173	0.514075	0.039350	0.048364	0.079695	0.832590	0.037814	0.041948	0.088236	0.832002	0.044628	0.047032	0.091220	0.817120	0.152146	0.095372	0.118909	0.633572	0.226081	0.116732	0.121954	0.535233	
5923000	-86.073697	295	4.027841	3.702003	5.813802	6.223488	0.234836	0.118142	0.122630	0.524391	0.034237	0.034894	0.096331	0.834538	0.044577	0.037902	0.111523	0.805999	0.067945	0.050478	0.120518	0.761058	0.133163	0.082070	0.125791	0.658976	0.192141	0.104108	0.125545	0.578206	
5924000	-82.668361	732	0.990797	2.332118	11.044302	8.643303	0.210187	0.105094	0.130422	0.554297	0.000370	0.000197	0.180647	0.818785	0.001196	0.000627	0.182988	0.815189	0.003706	0.001915	0.184418	0.809962	0.054670	0.027662	0.173117	0.744551	0.141943	0.071064	0.149746	0.637247	
5925000	-81.822007	539	0.450993	1.489308	2.192586	2.041621	0.220426	0.102124	0.137189	0.540261	0.000004	0.000059	0.007150	0.992787	0.000004	0.000061	0.007233	0.992703	0.000026	0.000294	0.010211	0.989469	0.011827	0.018435	0.068057	0.901681	0.121679	0.068407	0.140157	0.669758	
5926000	-84.574915	139	1.813561	1.396529	4.726415	4.413268	0.300965	0.152954	0.102650	0.443430	0.001528	0.002278	0.072857	0.923337	0.001372	0.001989	0.074801	0.921838	0.008249	0.009792	0.088550	0.893410	0.098578	0.081711	0.101883	0.717828	0.268669	0.156915	0.096308	0.478109	
5927000	-84.407764	893	5.404274	4.525179	5.446114	3.278318	0.241962	0.120430	0.121899	0.515710	0.069663	0.075289	0.083939	0.771108	0.086118	0.079099	0.094784	0.739998	0.129039	0.092931	0.109251	0.668779	0.175390	0.100963	0.122798	0.600849	0.226463	0.112600	0.126464	0.534474	
5928000	-82.591960	757	1.582792	1.706380	1.154276	2.543651	0.233486	0.152176	0.093936	0.520402	0.000004	0.001044	0.000437	0.998516	0.000020	0.001452	0.001613	0.996915	0.004338	0.027358	0.017732	0.950573	0.031142	0.083379	0.037271	0.848208	0.146409	0.155548	0.069592	0.628451	
5929000	-83.670118	371	1.245108	1.705258	5.730046	5.927339	0.293069	0.148095	0.105535	0.453301	0.000542	0.000696	0.083850	0.914912	0.000485	0.000578	0.089669	0.909267	0.004119	0.004086	0.105161	0.886635	0.105180	0.069522	0.124699	0.700599	0.249194	0.133972	0.110746	0.506087	
5930000	-83.070704	125	2.008872	2.725471	15.367139	7.701754	0.214560	0.107280	0.129173	0.548986	0.003329	0.001675	0.188524	0.806472	0.012582	0.006320	0.186174	0.794924	0.045912	0.022970	0.177265	0.753853	0.081123	0.040560	0.167303	0.711014	0.158093	0.079042	0.145315	0.617551	
5931000	-85.025186	503	11.090410	5.373124	7.894496	5.426881	0.242357	0.121244	0.121166	0.515233	0.193992	0.134170	0.097667	0.574171	0.208161	0.128853	0.105883	0.557103	0.220512	0.126189	0.111405	0.541893	0.235833	0.123459	0.117566	0.523142	0.240863	0.121997	0.120096	0.517044	
5932000	-87.853030	407	5.258213	6.170750	12.883408	9.074623	0.241776	0.120888	0.121397	0.515939	0.113938	0.058231	0.154905	0.672926	0.125261	0.063574	0.152646	0.658518	0.183689	0.092138	0.137583	0.586591	0.199861	0.100085	0.133177	0.566878	0.223324	0.111694	0.126634	0.538348	
5933000	-85.133160	626	3.783546	2.866401	12.523416	10.255101	0.234510	0.117256	0.123473	0.524762	0.063274	0.032005	0.170722	0.733999	0.056319	0.028418	0.173050	0.742213	0.076907	0.038663	0.167721	0.716708	0.132931	0.066682	0.152054	0.648332	0.197611	0.098872	0.133931	0.569586	
5934000	-86.433988	10	26.383387	15.612044	5.599422	4.673952	0.240552	0.121747	0.120276	0.517425	0.116051	0.157314	0.058027	0.668608	0.160756	0.144545	0.080378	0.614320	0.172382	0.141224	0.086191	0.600202	0.206792	0.131393	0.103396	0.558419	0.229921	0.124785	0.114960	0.530334	
5935000	-86.064939	997	6.918455	4.776817	8.536084	3.234856	0.243118	0.120851	0.121723	0.514309	0.188420	0.086036	0.148638	0.576905	0.201776	0.095620	0.139735	0.562869	0.212374	0.102165	0.134694	0.550766	0.243498	0.105696	0.138776	0.512030	0.248434	0.116629	0.127232	0.507705	
5936000	-84.745029	346	12.840422	10.088090	2.785516	3.673028	0.232070	0.124170	0.116035	0.527724	0.018870	0.182483	0.009599	0.789047	0.023937	0.181280	0.012158	0.782625	0.038962	0.178028	0.019654	0.763356	0.093545	0.163238	0.046942	0.696276	0.182472	0.138316	0.091254	0.587958	
5937000	-84.562334	200	3.307914	2.799526	12.737182	5.187679	0.232278	0.116126	0.124125	0.527472	0.046131	0.022590	0.180397	0.750881	0.046075	0.022943	0.177919	0.753063	0.060610	0.030246	0.173444	0.735700	0.123493	0.061273	0.156252	0.658982	0.195964	0.097719	0.134829	0.571488	
5938000	-83.340497	424	2.657632	2.460956	14.592585	6.797790	0.236480	0.118240	0.122911	0.522370	0.016506	0.008281	0.185243	0.789969	0.021637	0.010841	0.183983	0.783539	0.038113	0.019083	0.179379	0.763424	0.105237	0.052556	0.160574	0.681632	0.199033	0.099490	0.133644	0.567834	
5939000	-87.555976	674	4.949260	2.705970	15.761671	13.751834	0.243552	0.121776	0.120890	0.513783	0.154169	0.077233	0.146172	0.622427	0.110187	0.055159	0.158827	0.675827	0.131751	0.065913	0.152756	0.649580	0.198558	0.099305	0.133712	0.568425	0.241120	0.120562	0.121582	0.516735	
5940000	-82.474762	140	0.716135	2.082091	1.917161	2.398516	0.156879	0.085420	0.134625	0.623076	0.000109	0.000945	0.013334	0.985613	0.000114	0.000983	0.013403	0.985501	0.000504	0.002717	0.021288	0.975491	0.009523	0.016620	0.061500	0.912358	0.066323	0.050981	0.117166	0.765529	
5941000	-84.282444	115	4.592379	3.011640	26.245360	18.827888	0.241686	0.120843	0.121423	0.516048	0.077905	0.038953	0.168214	0.714928	0.073359	0.036680	0.169515	0.720446	0.078130	0.039065	0.168152	0.714652	0.171368	0.085684	0.141514	0.601434	0.228786	0.114393	0.125109	0.531712	
5942000	-86.913191	997	17.602761	6.953227	25.215011	16.891522	0.242424	0.121212	0.121212	0.515151	0.243475	0.121745	0.120904	0.513876	0.242632	0.121317	0.121152	0.514900	0.242509	0.121255	0.121188	0.515049	0.242586	0.121293	0.121166	0.514955	0.242442	0.121221	0.121207	0.515130	
5943000	-83.851896	946	1.344715	1.740039	0.335068	2.523166	0.077781	0.162912	0.040382	0.718926	0.000001	0.001705	0.000102	0.998192	0.000004	0.002418	0.000186	0.997393	0.000015	0.005645	0.000321	0.994018	0.000987	0.035454	0.003145	0.960414	0.025042	0.123200	0.019893	0.831866	
5944000	-84.771746	980	2.383195	3.744038	4.546423	3.724923	0.211165	0.108083	0.127228	0.553524	0.005471	0.010310	0.057833	0.926386	0.006171	0.010148	0.065675	0.918006	0.015991	0.019946	0.083092	0.880971	0.045369	0.038622	0.111221	0.804788	0.145968	0.083142	0.131967	0.638923	
5945000	-84.542638	715	1.363123	2.296481	16.696439	14.636188	0.216580	0.108290	0.128596	0.546534	0.000615	0.000308	0.189844	0.809232	0.004418	0.002212	0.189032	0.804338	0.014709	0.007357	0.186225	0.791709	0.065608	0.032809	0.171710	0.729874	0.155346	0.077674	0.146091	0.620890	
