Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.bttrees
Data File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.btdata
Log File Name:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-3ANCrecon-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3134403187
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-3ANCrecon-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.242424,0.121212,0.121212,0.515152)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	5
	ANC5	2	R11_Umbundu G61_Sangu 
	ANC4	2	JD53_Shi G61_Sangu 
	ANC3	2	L11_Pende G61_Sangu 
	ANC2	2	C83_Bushong G61_Sangu 
	ANC1	2	C41_Ngombe G61_Sangu 
Scale Tree:                      0.000000
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Node reconstruction / fossilisation:
	MRCA RecNodeUmbundu ANC5
	MRCA RecNodeShi ANC4
	MRCA RecNodePende ANC3
	MRCA RecNodeBushong ANC2
	MRCA RecNodeNgombe ANC1
Tree Information
     Trees:                      1000
     Taxa:                       66
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RecNodeUmbundu - P(0,0)	RecNodeUmbundu - P(0,1)	RecNodeUmbundu - P(1,0)	RecNodeUmbundu - P(1,1)	RecNodeShi - P(0,0)	RecNodeShi - P(0,1)	RecNodeShi - P(1,0)	RecNodeShi - P(1,1)	RecNodePende - P(0,0)	RecNodePende - P(0,1)	RecNodePende - P(1,0)	RecNodePende - P(1,1)	RecNodeBushong - P(0,0)	RecNodeBushong - P(0,1)	RecNodeBushong - P(1,0)	RecNodeBushong - P(1,1)	RecNodeNgombe - P(0,0)	RecNodeNgombe - P(0,1)	RecNodeNgombe - P(1,0)	RecNodeNgombe - P(1,1)	
4111000	-81.965312	51	0.655902	1.694272	29.114760	17.422078	0.195341	0.097671	0.134664	0.572324	0.001373	0.000686	0.190084	0.807857	0.000547	0.000273	0.190320	0.808860	0.004054	0.002027	0.189318	0.804602	0.041349	0.020675	0.178662	0.759314	0.120178	0.060089	0.156140	0.663593	
4112000	-85.061574	319	5.013811	3.708160	20.975375	8.824068	0.241142	0.120571	0.121578	0.516708	0.114845	0.057415	0.157681	0.670059	0.128041	0.064017	0.153900	0.654042	0.141273	0.070635	0.150115	0.637977	0.191984	0.095988	0.135629	0.576399	0.226560	0.113279	0.125746	0.534416	
4113000	-85.193221	923	9.371748	4.804515	2.298403	2.139753	0.253776	0.117979	0.126877	0.501367	0.005090	0.171055	0.002874	0.820981	0.005090	0.171055	0.002874	0.820981	0.022973	0.171693	0.012481	0.792853	0.159026	0.144670	0.079736	0.616568	0.253424	0.118717	0.126029	0.501830	
4114000	-82.643048	666	3.726507	2.737108	3.590739	2.679846	0.242473	0.120445	0.121993	0.515088	0.009749	0.033304	0.031857	0.925090	0.006273	0.022945	0.030252	0.940530	0.041062	0.059874	0.067124	0.831941	0.103044	0.088893	0.096975	0.711088	0.208261	0.113438	0.120483	0.557819	
4115000	-86.860527	80	41.245508	24.477414	20.756772	15.696051	0.242424	0.121212	0.121212	0.515152	0.242383	0.121224	0.121191	0.515202	0.242411	0.121216	0.121206	0.515167	0.242419	0.121214	0.121210	0.515158	0.242422	0.121213	0.121211	0.515154	0.242424	0.121212	0.121212	0.515152	
4116000	-84.833237	831	3.919853	3.274179	14.733350	5.727506	0.235744	0.117869	0.123124	0.523263	0.054229	0.026884	0.176238	0.742648	0.064455	0.032073	0.172760	0.730712	0.115807	0.057696	0.157885	0.668611	0.156675	0.078082	0.146146	0.619097	0.212082	0.105960	0.129977	0.551981	
4117000	-81.886855	419	0.914937	2.583282	2.090815	3.040237	0.172941	0.096439	0.127287	0.603333	0.000034	0.000547	0.007243	0.992177	0.000032	0.000463	0.008104	0.991401	0.001092	0.005172	0.024081	0.969655	0.014939	0.025540	0.061779	0.897742	0.081304	0.064239	0.110740	0.743717	
4118000	-84.933740	993	10.560912	5.360635	6.451506	4.282409	0.242331	0.121243	0.121162	0.515264	0.172715	0.137989	0.088474	0.600822	0.183791	0.133804	0.094935	0.587470	0.192629	0.132251	0.098764	0.576356	0.216987	0.128188	0.108748	0.546076	0.237826	0.122842	0.118605	0.520727	
4119000	-81.672061	728	0.827976	2.350011	4.513094	2.636960	0.168681	0.081369	0.147042	0.602908	0.000191	0.000285	0.073083	0.926440	0.000786	0.000949	0.088560	0.909705	0.003940	0.003702	0.110430	0.881928	0.025738	0.014953	0.161548	0.797761	0.090580	0.041488	0.177373	0.690559	
4120000	-83.494374	149	1.355293	1.531419	2.983509	2.728361	0.249831	0.132224	0.112381	0.505564	0.000156	0.000973	0.018497	0.980374	0.000172	0.000937	0.021149	0.977742	0.001966	0.006398	0.034603	0.957033	0.029433	0.041325	0.071843	0.857399	0.160970	0.111604	0.105527	0.621899	
4121000	-84.388124	899	1.482307	1.386092	11.182325	6.208776	0.312939	0.156465	0.101068	0.429528	0.009438	0.004885	0.182536	0.803141	0.001531	0.000795	0.184347	0.813327	0.015583	0.007952	0.182944	0.793522	0.115632	0.058185	0.156559	0.669623	0.276400	0.138190	0.111513	0.473897	
4122000	-82.960330	521	1.579387	2.250883	12.854678	10.529357	0.217919	0.108960	0.128213	0.544908	0.006310	0.003186	0.187163	0.803340	0.004935	0.002485	0.187966	0.804613	0.010879	0.005465	0.186645	0.797011	0.065163	0.032648	0.171561	0.730628	0.157842	0.078938	0.145350	0.617869	
4123000	-85.986641	928	11.865907	9.464703	7.582985	4.926756	0.242256	0.121259	0.121129	0.515356	0.178504	0.134476	0.092797	0.594223	0.193714	0.131650	0.099553	0.575084	0.207568	0.129340	0.105311	0.557781	0.229224	0.124375	0.115181	0.531219	0.240238	0.121777	0.120178	0.517807	
4124000	-84.402405	751	5.710335	2.997010	6.973637	3.944168	0.244287	0.122004	0.120819	0.512890	0.167983	0.106885	0.113153	0.611978	0.161735	0.098772	0.119447	0.620046	0.171802	0.101659	0.120495	0.606044	0.223872	0.118506	0.119580	0.538042	0.250888	0.125026	0.119195	0.504891	
4125000	-87.860099	39	20.590986	7.870140	42.437036	20.540228	0.242424	0.121212	0.121212	0.515151	0.242742	0.121371	0.121121	0.514766	0.242484	0.121242	0.121195	0.515079	0.242466	0.121233	0.121200	0.515101	0.242478	0.121239	0.121197	0.515086	0.242427	0.121213	0.121211	0.515148	
4126000	-82.103372	758	3.228099	2.509504	4.104644	3.396108	0.238284	0.122655	0.118888	0.520173	0.004078	0.013608	0.033454	0.948860	0.004824	0.013762	0.038867	0.942548	0.007240	0.018657	0.042530	0.931572	0.069379	0.073357	0.085835	0.771429	0.195695	0.116853	0.113151	0.574301	
4127000	-82.736180	141	1.416758	1.912183	25.241725	12.297057	0.219423	0.109712	0.127784	0.543081	0.001701	0.000851	0.189985	0.807463	0.006229	0.003115	0.188696	0.801960	0.010056	0.005028	0.187603	0.797314	0.049640	0.024820	0.176294	0.749247	0.149287	0.074644	0.147823	0.628246	
4128000	-83.961124	346	7.457702	4.440103	2.309129	3.647484	0.226582	0.125776	0.113257	0.534386	0.008887	0.157291	0.005506	0.828316	0.011676	0.148757	0.007681	0.831886	0.022195	0.154140	0.013721	0.809944	0.071445	0.161067	0.038065	0.729423	0.165779	0.142967	0.082980	0.608275	
4129000	-85.230731	118	9.209370	4.431310	15.621931	9.834749	0.242526	0.121263	0.121183	0.515028	0.245377	0.123285	0.119784	0.511554	0.235546	0.118068	0.122872	0.523514	0.239060	0.119600	0.122102	0.519238	0.244014	0.122036	0.120730	0.513220	0.244087	0.122046	0.120734	0.513133	
4130000	-82.284983	708	2.037019	2.392457	6.462900	2.814609	0.237909	0.113767	0.128010	0.520314	0.009987	0.005585	0.171118	0.813310	0.007215	0.003957	0.174667	0.814161	0.050808	0.024450	0.181660	0.743082	0.128337	0.055828	0.173671	0.642164	0.210778	0.091337	0.149015	0.548870	
4131000	-84.387375	83	6.989240	5.409629	4.100638	2.145910	0.256857	0.116913	0.128618	0.497612	0.059639	0.117501	0.046367	0.776493	0.080667	0.118625	0.059313	0.741394	0.110706	0.125955	0.071535	0.691804	0.221425	0.110631	0.127303	0.540641	0.279444	0.106862	0.144382	0.469312	
4132000	-83.254496	841	11.315894	6.059650	2.529810	2.137103	0.252009	0.118479	0.125999	0.503513	0.020837	0.182167	0.010583	0.786414	0.034222	0.177592	0.017472	0.770714	0.038351	0.177055	0.019497	0.765097	0.138933	0.150585	0.069567	0.640915	0.232476	0.124147	0.116150	0.527227	
4133000	-86.411051	160	6.853514	6.356671	9.665849	5.034383	0.242057	0.120996	0.121350	0.515597	0.184198	0.098413	0.129461	0.587928	0.178954	0.095604	0.130923	0.594520	0.196260	0.102754	0.128615	0.572371	0.213392	0.107424	0.128658	0.550526	0.235622	0.117399	0.123584	0.523395	
4134000	-80.942028	827	1.716657	2.219621	3.070839	2.929962	0.224024	0.117532	0.120606	0.537838	0.000186	0.001317	0.016318	0.982178	0.000442	0.002446	0.020764	0.976348	0.001687	0.006736	0.028373	0.963204	0.030313	0.042771	0.071338	0.855577	0.140902	0.096523	0.111768	0.650807	
4135000	-84.656648	870	4.876787	3.773192	10.875501	8.230613	0.240024	0.120013	0.121897	0.518066	0.105016	0.054705	0.154810	0.685470	0.097813	0.050608	0.157763	0.693816	0.133238	0.067695	0.150239	0.648828	0.177639	0.089469	0.138777	0.594115	0.218986	0.109625	0.127759	0.543630	
4136000	-82.354746	586	3.732209	3.346669	5.513750	4.304266	0.236548	0.118855	0.122294	0.522303	0.030253	0.032718	0.091932	0.845097	0.036288	0.034450	0.102460	0.826801	0.049525	0.042741	0.108897	0.798836	0.113471	0.074709	0.123071	0.688749	0.191837	0.103763	0.125840	0.578560	
4137000	-85.732010	245	5.154875	2.649831	8.743320	7.372991	0.245158	0.122597	0.120414	0.511831	0.138784	0.079801	0.132724	0.648690	0.125240	0.069668	0.140546	0.664546	0.140629	0.076272	0.139589	0.643511	0.209593	0.110172	0.124403	0.555832	0.249215	0.125526	0.118391	0.506868	
4138000	-84.397484	353	2.096253	1.945076	14.809231	8.544100	0.249686	0.124843	0.119137	0.506334	0.005683	0.002870	0.187310	0.804136	0.014259	0.007160	0.185754	0.792828	0.025061	0.012564	0.182915	0.779460	0.103658	0.051873	0.160741	0.683728	0.214237	0.107122	0.129261	0.549380	
4139000	-84.228819	407	0.004167	1.362640	2.826398	2.906352	0.002956	0.001539	0.183545	0.811961	0.000000	0.000000	0.011560	0.988440	0.000000	0.000000	0.017973	0.982027	0.000000	0.000000	0.049191	0.950809	0.000087	0.000100	0.092525	0.907288	0.000735	0.000513	0.143904	0.854848	
4140000	-83.227753	754	7.689358	4.756950	7.175210	4.698197	0.242398	0.121225	0.121194	0.515183	0.151692	0.116299	0.097384	0.634626	0.153470	0.112189	0.101799	0.632541	0.179830	0.116160	0.108468	0.595542	0.226229	0.120837	0.117855	0.535079	0.240082	0.121380	0.120538	0.518000	
4141000	-80.846301	841	0.444232	1.937365	1.677151	1.690590	0.170235	0.069596	0.169870	0.590299	0.000002	0.000066	0.004195	0.995737	0.000019	0.000235	0.009537	0.990209	0.000041	0.000450	0.010549	0.988961	0.009988	0.013479	0.078307	0.898226	0.083387	0.041464	0.167442	0.707707	
4142000	-84.698176	830	0.755402	0.965282	10.669795	5.892546	0.426945	0.213462	0.068496	0.291096	0.001008	0.000535	0.181020	0.817437	0.000493	0.000263	0.180607	0.818638	0.007121	0.003679	0.183461	0.805738	0.147564	0.074146	0.147655	0.630635	0.376902	0.188367	0.082836	0.351895	
4143000	-83.905328	510	2.358052	3.398314	5.794756	3.494546	0.228173	0.113931	0.125452	0.532444	0.005579	0.005284	0.109292	0.879844	0.006421	0.005803	0.113764	0.874012	0.028461	0.020913	0.131198	0.819429	0.083437	0.047211	0.149641	0.719711	0.163725	0.082313	0.142975	0.610987	
4144000	-85.795937	765	1.119887	2.387177	2.540084	1.970436	0.189974	0.090407	0.142639	0.576981	0.000649	0.003383	0.021992	0.973976	0.000385	0.002195	0.020145	0.977276	0.000355	0.002005	0.020378	0.977261	0.012007	0.016472	0.076733	0.894788	0.102603	0.057598	0.145504	0.694294	
4145000	-84.988783	428	2.338221	2.033993	24.617060	19.108757	0.246974	0.123487	0.119912	0.509627	0.007656	0.003828	0.188285	0.800230	0.008636	0.004318	0.188007	0.799038	0.025789	0.012895	0.183107	0.778208	0.126222	0.063111	0.154413	0.656255	0.220435	0.110217	0.127495	0.541853	
4146000	-83.947333	196	7.144162	4.295993	2.691099	3.273411	0.227050	0.125664	0.113470	0.533815	0.026664	0.153640	0.016401	0.803295	0.012788	0.136146	0.009302	0.841764	0.034904	0.145837	0.022436	0.796823	0.106509	0.149531	0.057523	0.686438	0.190756	0.135276	0.095900	0.578068	
4147000	-84.688953	912	1.308274	3.608058	9.034183	5.093279	0.183212	0.091595	0.138145	0.587047	0.002791	0.001569	0.172256	0.823384	0.004311	0.002376	0.174751	0.818562	0.007468	0.004037	0.176690	0.811805	0.026712	0.013709	0.178942	0.780637	0.099539	0.049786	0.161989	0.688686	
4148000	-83.370371	464	5.631487	3.907257	5.886264	3.122784	0.242598	0.120864	0.121598	0.514940	0.068145	0.074644	0.083138	0.774072	0.095511	0.081867	0.099282	0.723340	0.115233	0.089718	0.104365	0.690684	0.184974	0.102902	0.124310	0.587814	0.236270	0.115556	0.125683	0.522491	
4149000	-81.981156	212	0.591012	2.032442	0.824823	1.732015	0.145053	0.083174	0.131389	0.640383	0.000000	0.000020	0.000092	0.999888	0.000004	0.000327	0.001538	0.998131	0.002612	0.013418	0.022029	0.961941	0.006165	0.018310	0.037168	0.938358	0.049940	0.048769	0.096904	0.804387	
4150000	-83.632738	293	4.510505	2.902973	17.026889	10.040031	0.243320	0.121660	0.120956	0.514063	0.065735	0.033031	0.170977	0.730258	0.061266	0.030738	0.172472	0.735524	0.069088	0.034634	0.170358	0.725920	0.183458	0.091750	0.138029	0.586763	0.235482	0.117742	0.123195	0.523581	
4151000	-84.780939	41	15.556729	8.965915	0.442978	1.987830	0.173400	0.140933	0.086700	0.598967	0.000182	0.189970	0.000091	0.809756	0.000169	0.189899	0.000085	0.809847	0.000823	0.189912	0.000412	0.808852	0.036311	0.180058	0.018161	0.765470	0.096797	0.162818	0.048399	0.691986	
4152000	-86.717672	554	7.399597	4.504049	3.057527	1.598789	0.272679	0.112536	0.136376	0.478408	0.026762	0.147165	0.017303	0.808770	0.033937	0.142257	0.022490	0.801317	0.048589	0.146654	0.030192	0.774565	0.192039	0.124841	0.104682	0.578439	0.301373	0.102591	0.153084	0.442952	
4153000	-84.275971	177	2.290616	3.008804	11.442515	4.648654	0.224751	0.112327	0.126316	0.536607	0.004161	0.002050	0.191549	0.802240	0.006915	0.003409	0.190680	0.798996	0.027769	0.013474	0.187097	0.771660	0.077764	0.037442	0.173741	0.711053	0.162840	0.080050	0.146203	0.610907	
4154000	-88.858209	373	6.207405	1.517963	3.227138	3.878598	0.267895	0.143938	0.105652	0.482514	0.117958	0.480185	0.011288	0.390570	0.104797	0.279788	0.025974	0.589441	0.137847	0.255659	0.036177	0.570317	0.260004	0.280512	0.045178	0.414306	0.314179	0.223390	0.065651	0.396779	
4155000	-83.947847	826	2.281115	2.904637	4.469004	2.552728	0.227168	0.109977	0.129590	0.533265	0.004976	0.006936	0.076907	0.911181	0.004164	0.005667	0.078789	0.911380	0.027482	0.024499	0.110525	0.837493	0.085004	0.049711	0.144918	0.720367	0.174914	0.081685	0.149592	0.593808	
4156000	-86.216092	311	34.916767	20.384092	23.083756	13.812036	0.242424	0.121212	0.121212	0.515152	0.242411	0.121216	0.121205	0.515168	0.242417	0.121214	0.121209	0.515160	0.242421	0.121213	0.121210	0.515156	0.242423	0.121212	0.121212	0.515153	0.242424	0.121212	0.121212	0.515152	
4157000	-83.032505	551	0.986951	2.457573	8.876299	8.285301	0.174805	0.087425	0.140499	0.597271	0.000485	0.000282	0.168297	0.830936	0.002678	0.001482	0.174595	0.821245	0.007789	0.004083	0.181097	0.807031	0.035137	0.018114	0.175908	0.770841	0.110329	0.055429	0.158288	0.675954	
4158000	-81.534302	81	2.120043	1.779372	2.024307	2.095630	0.271679	0.131729	0.116490	0.480102	0.000114	0.002927	0.004563	0.992396	0.000110	0.002679	0.004814	0.992397	0.004770	0.023554	0.022612	0.949064	0.062906	0.084537	0.068628	0.783928	0.223374	0.134124	0.105263	0.537239	
4159000	-83.460817	492	3.253943	2.435628	22.822414	13.980466	0.241037	0.120519	0.121608	0.516835	0.058552	0.029279	0.173734	0.738435	0.045699	0.022850	0.177416	0.754036	0.069985	0.034993	0.170479	0.724542	0.143158	0.071579	0.149574	0.635690	0.216066	0.108033	0.128743	0.547158	
4160000	-86.315308	123	25.501640	21.251113	10.747852	6.392547	0.242422	0.121213	0.121211	0.515154	0.230837	0.124521	0.115420	0.529222	0.234496	0.123477	0.117249	0.524779	0.237090	0.122736	0.118545	0.521629	0.240047	0.121891	0.120024	0.518038	0.242222	0.121270	0.121111	0.515398	
4161000	-87.538712	887	6.277860	7.193507	25.359660	14.472780	0.242037	0.121019	0.121323	0.515622	0.203274	0.101637	0.132397	0.562692	0.209163	0.104582	0.130715	0.555540	0.214015	0.107008	0.129329	0.549649	0.220611	0.110305	0.127444	0.541639	0.236494	0.118247	0.122907	0.522353	
4162000	-83.273617	912	4.381268	3.662578	7.714441	4.548852	0.237832	0.118901	0.122540	0.520727	0.067490	0.042890	0.138964	0.750655	0.070637	0.043361	0.142495	0.743508	0.086770	0.051386	0.142838	0.719007	0.137056	0.073286	0.142407	0.647251	0.210558	0.105785	0.129715	0.553942	
4163000	-85.004484	788	3.886897	2.264960	18.200250	9.136847	0.246258	0.123129	0.120117	0.510496	0.089747	0.044897	0.164759	0.700597	0.057529	0.028777	0.173975	0.739719	0.069807	0.034915	0.170483	0.724796	0.183185	0.091590	0.138141	0.587084	0.244854	0.122425	0.120520	0.512201	
4164000	-85.708531	466	17.486408	11.078101	7.911586	3.690070	0.242699	0.121134	0.121350	0.514818	0.217800	0.128048	0.109075	0.545077	0.223811	0.126397	0.112026	0.537767	0.229327	0.124899	0.114715	0.531059	0.246839	0.119932	0.123438	0.509791	0.246766	0.119971	0.123383	0.509880	
4165000	-81.234176	999	1.456002	1.561008	1.002948	2.751171	0.237478	0.157752	0.090993	0.513777	0.000000	0.000324	0.000157	0.999519	0.000009	0.001033	0.000972	0.997986	0.001623	0.018549	0.009985	0.969844	0.024056	0.084396	0.028927	0.862620	0.142921	0.170577	0.061598	0.624904	
4166000	-85.065605	782	9.900493	3.739580	6.549197	4.034254	0.242972	0.121356	0.121185	0.514487	0.189327	0.156581	0.081457	0.572634	0.185248	0.148109	0.085512	0.581131	0.201280	0.138776	0.096195	0.563748	0.239408	0.132941	0.109729	0.517921	0.246238	0.123861	0.119399	0.510502	
4167000	-83.169803	647	0.814625	2.058632	14.264682	9.646075	0.194396	0.097198	0.134934	0.573471	0.000295	0.000149	0.188347	0.811209	0.000761	0.000384	0.188711	0.810144	0.005646	0.002832	0.188382	0.803140	0.047023	0.023538	0.176877	0.752563	0.128095	0.064054	0.153864	0.653986	
4168000	-83.034719	279	3.512263	3.091299	2.425997	1.632952	0.276696	0.106361	0.144572	0.472370	0.002430	0.024727	0.011119	0.961725	0.003998	0.024329	0.018427	0.953246	0.007278	0.034616	0.023128	0.934977	0.087283	0.068335	0.110309	0.734073	0.246066	0.089104	0.163029	0.501801	
4169000	-82.539233	91	1.067851	2.306246	2.600986	3.516466	0.177000	0.097977	0.127083	0.597940	0.000120	0.000802	0.017312	0.981766	0.000388	0.001541	0.028703	0.969368	0.001819	0.005184	0.039365	0.953632	0.017882	0.026057	0.071423	0.884638	0.076492	0.063174	0.107272	0.753062	
4170000	-85.652519	723	7.581559	4.189962	19.732896	12.253876	0.242955	0.121477	0.121061	0.514508	0.219792	0.109956	0.127610	0.542642	0.218335	0.109195	0.128063	0.544407	0.223459	0.111742	0.126617	0.538182	0.239129	0.119569	0.122149	0.519154	0.244248	0.122124	0.120691	0.512937	
4171000	-83.340165	409	2.167602	2.029966	22.604230	12.931972	0.251922	0.125961	0.118498	0.503618	0.004888	0.002445	0.189030	0.803637	0.004768	0.002384	0.189082	0.803766	0.021312	0.010657	0.184376	0.783655	0.102922	0.051462	0.161067	0.684548	0.223302	0.111651	0.126676	0.538372	
4172000	-83.202311	619	1.099660	1.644125	3.733338	3.242124	0.242315	0.126904	0.115707	0.515074	0.000073	0.000308	0.027113	0.972506	0.000307	0.000931	0.037293	0.961469	0.001462	0.003439	0.047408	0.947690	0.030137	0.034772	0.086525	0.848565	0.156420	0.099154	0.116532	0.627894	
4173000	-85.468105	172	6.345755	2.325415	3.551155	2.290003	0.266307	0.124204	0.122773	0.486716	0.063679	0.190479	0.028225	0.717618	0.091236	0.158423	0.047612	0.702730	0.096614	0.160453	0.049147	0.693785	0.224720	0.165758	0.083843	0.525678	0.285198	0.138110	0.112719	0.463974	
4174000	-83.769155	500	2.866667	3.008220	1.472508	3.232100	0.203937	0.125919	0.107253	0.562890	0.000172	0.011390	0.001757	0.986681	0.000742	0.015429	0.005537	0.978291	0.002450	0.030105	0.009173	0.958273	0.017682	0.066447	0.027802	0.888068	0.087969	0.114257	0.066260	0.731513	
4175000	-86.420777	693	17.629858	13.415330	1.184956	2.979540	0.173313	0.140958	0.086657	0.599072	0.010045	0.187479	0.005026	0.797450	0.006815	0.188479	0.003409	0.801296	0.005534	0.188864	0.002767	0.802835	0.043011	0.178180	0.021506	0.757303	0.103245	0.160977	0.051623	0.684155	
4176000	-86.353457	975	7.402055	6.119291	27.789560	15.367517	0.242272	0.121136	0.121256	0.515336	0.192869	0.096436	0.135369	0.575326	0.188992	0.094497	0.136477	0.580034	0.209859	0.104930	0.130516	0.554695	0.227944	0.113972	0.125349	0.532735	0.238041	0.119020	0.122465	0.520474	
4177000	-81.345702	758	0.867750	2.047539	5.713585	3.977193	0.211271	0.106222	0.129420	0.553088	0.000218	0.000265	0.088177	0.911339	0.000496	0.000561	0.094171	0.904772	0.000942	0.001012	0.098457	0.899589	0.036378	0.025222	0.136130	0.802269	0.141962	0.075136	0.142378	0.640524	
4178000	-83.141970	937	2.665311	2.852381	13.720597	6.998652	0.231385	0.115692	0.124366	0.528556	0.025248	0.012711	0.182223	0.779818	0.013114	0.006606	0.185591	0.794688	0.049684	0.024910	0.175879	0.749527	0.105088	0.052537	0.160469	0.681905	0.182385	0.091165	0.138404	0.588045	
4179000	-84.962371	889	10.351064	5.407713	6.365494	4.170183	0.242339	0.121238	0.121168	0.515255	0.158619	0.141774	0.081375	0.618232	0.173355	0.136492	0.089717	0.600436	0.192454	0.132778	0.098300	0.576468	0.219609	0.127524	0.109987	0.542880	0.237485	0.122842	0.118529	0.521143	
4180000	-81.514155	779	2.076446	2.842998	7.855895	5.155078	0.223172	0.111632	0.126661	0.538535	0.008248	0.005569	0.146344	0.839839	0.012702	0.007775	0.157904	0.821619	0.027988	0.015949	0.163603	0.792459	0.097108	0.050859	0.156285	0.695747	0.173020	0.087303	0.139853	0.599823	
4181000	-81.274887	325	0.114550	2.519152	1.464968	2.198184	0.037767	0.021520	0.160990	0.779723	0.000000	0.000001	0.001103	0.998896	0.000000	0.000011	0.003793	0.996196	0.000004	0.000051	0.008177	0.991769	0.000305	0.000992	0.034844	0.963860	0.008465	0.007636	0.113508	0.870391	
4182000	-82.541569	107	0.152732	1.470785	4.813128	4.688426	0.102289	0.051823	0.159410	0.686478	0.000015	0.000018	0.092439	0.907528	0.000007	0.000008	0.092658	0.907327	0.000126	0.000117	0.112464	0.887293	0.009903	0.006922	0.141640	0.841534	0.043592	0.025053	0.158259	0.773096	
4183000	-80.966408	49	1.420108	2.521960	2.734700	2.904521	0.193006	0.102993	0.127173	0.576829	0.000079	0.001038	0.008858	0.990024	0.001513	0.005528	0.030978	0.961980	0.011018	0.020579	0.057385	0.911018	0.021409	0.028962	0.075980	0.873649	0.099300	0.070398	0.118176	0.712126	
4184000	-87.665856	791	37.556918	35.530559	7.612814	5.569136	0.242323	0.121241	0.121161	0.515275	0.199408	0.133502	0.099704	0.567385	0.208280	0.130968	0.104140	0.556613	0.218917	0.127928	0.109459	0.543696	0.225842	0.125950	0.112921	0.535288	0.239193	0.122135	0.119597	0.519075	
4185000	-83.940469	848	1.418615	1.820087	10.300353	8.071292	0.261988	0.131005	0.115612	0.491394	0.001055	0.000588	0.174060	0.824297	0.002982	0.001611	0.178037	0.817371	0.011027	0.005785	0.180094	0.803093	0.102033	0.051947	0.158803	0.687217	0.220821	0.110597	0.127175	0.541407	
4186000	-82.746192	219	2.637687	2.530147	12.239363	7.307105	0.231658	0.115829	0.124288	0.528225	0.021052	0.010850	0.179914	0.788184	0.029722	0.015052	0.180075	0.775151	0.042900	0.021628	0.176997	0.758476	0.114023	0.057169	0.157517	0.671291	0.194329	0.097184	0.134928	0.573559	
4187000	-85.611539	930	7.153580	5.991271	41.216946	18.932694	0.242169	0.121085	0.121285	0.515461	0.191552	0.095776	0.135747	0.576925	0.204892	0.102446	0.131936	0.560726	0.217791	0.108895	0.128250	0.545063	0.227587	0.113793	0.125451	0.533168	0.238470	0.119235	0.122342	0.519953	
4188000	-84.918856	546	5.264273	3.444686	6.810000	2.606671	0.245969	0.119244	0.123964	0.510823	0.134920	0.053137	0.186755	0.625188	0.128352	0.060674	0.161611	0.649363	0.144876	0.068523	0.156684	0.629918	0.228228	0.083154	0.168081	0.520537	0.258056	0.107210	0.140077	0.494657	
4189000	-85.732919	603	44.510580	18.584950	1.155029	2.108408	0.203327	0.132383	0.101664	0.562627	0.007179	0.188425	0.003590	0.800806	0.010316	0.187529	0.005158	0.796997	0.007855	0.188232	0.003927	0.799986	0.052266	0.175543	0.026133	0.746058	0.131616	0.152872	0.065808	0.649705	
4190000	-86.283179	549	10.739038	6.689585	34.856107	24.232320	0.242423	0.121212	0.121212	0.515153	0.235648	0.117824	0.123148	0.523380	0.234194	0.117097	0.123563	0.525145	0.235638	0.117819	0.123151	0.523392	0.240688	0.120344	0.121708	0.517260	0.242220	0.121110	0.121270	0.515399	
4191000	-82.858958	507	1.136728	1.559146	2.758046	3.509100	0.267675	0.147151	0.103155	0.482020	0.000049	0.000524	0.010873	0.988554	0.000049	0.000524	0.010873	0.988554	0.000762	0.004075	0.021427	0.973736	0.041388	0.062229	0.065049	0.831335	0.176463	0.136025	0.091036	0.596477	
4192000	-82.327389	48	0.851418	2.956740	9.857649	5.399216	0.183096	0.091536	0.138180	0.587189	0.000195	0.000110	0.172804	0.826892	0.000148	0.000083	0.173276	0.826493	0.002430	0.001330	0.176261	0.819980	0.039104	0.019835	0.177173	0.763887	0.116367	0.058122	0.157376	0.668136	
4193000	-82.388514	924	1.732417	2.885892	3.614652	3.669660	0.211561	0.109215	0.126063	0.553161	0.001106	0.003550	0.035195	0.960149	0.001290	0.003568	0.040595	0.954547	0.003766	0.008158	0.050894	0.937182	0.025561	0.030751	0.084062	0.859626	0.113506	0.075678	0.121612	0.689204	
