Options:
Model:                           MultiState
Tree File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.bttrees
Data File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.btdata
Log File Name:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/scale_trees2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2682945388
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      1000000000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/scale_trees2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               1,3,4,5
Using a covarion model:          False
Normalise Q Matrix:              True
Scale Tree:                      627.526411
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        GlobalRate - uniform 0.00 100.00 
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	Global Rate	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q31	q34	q35	q41	q43	q45	q51	q53	q54	Root P(1)	Root P(3)	Root P(4)	Root P(5)	
2250000	-12.063472	171	1.034223	1	6	'Z Z 0 Z Z 0 0 0 0 0 Z Z 	0.000000	0.000000	0.166667	0.000000	0.000000	0.166667	0.166667	0.166667	0.166667	0.166667	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
2300000	-11.649955	856	0.907433	2	6	'1 Z Z Z Z 1 1 1 1 Z 0 Z 	0.199362	0.000000	0.000000	0.000000	0.000000	0.199362	0.199362	0.199362	0.199362	0.000000	0.003188	0.000000	0.000000	0.000000	1.000000	0.000000	
2350000	-11.443799	707	1.086470	1	6	'0 Z 0 Z 0 Z 0 0 0 Z Z Z 	0.166667	0.000000	0.166667	0.000000	0.166667	0.000000	0.166667	0.166667	0.166667	0.000000	0.000000	0.000000	0.000000	0.000235	0.999765	0.000000	
2400000	-11.890442	255	1.163386	1	5	'Z Z 0 Z 0 Z 0 0 0 Z 0 0 	0.000000	0.000000	0.142857	0.000000	0.142857	0.000000	0.142857	0.142857	0.142857	0.000000	0.142857	0.142857	0.000000	0.000072	0.997706	0.002221	
2450000	-11.438230	937	1.137235	1	6	'Z Z Z Z 0 Z 0 0 0 0 Z 0 	0.000000	0.000000	0.000000	0.000000	0.166667	0.000000	0.166667	0.166667	0.166667	0.166667	0.000000	0.166667	0.000000	0.000158	0.987320	0.012522	
2500000	-12.345491	811	1.047212	1	4	'0 Z 0 0 Z Z 0 0 0 0 Z 0 	0.125000	0.000000	0.125000	0.125000	0.000000	0.000000	0.125000	0.125000	0.125000	0.125000	0.000000	0.125000	0.000000	0.000000	0.993854	0.006146	
2550000	-12.304185	355	1.258964	1	6	'0 Z 0 0 Z Z 0 0 0 Z Z Z 	0.166667	0.000000	0.166667	0.166667	0.000000	0.000000	0.166667	0.166667	0.166667	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
2600000	-11.862100	226	1.207817	1	4	'0 Z Z 0 Z Z 0 0 0 0 0 0 	0.125000	0.000000	0.000000	0.125000	0.000000	0.000000	0.125000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.000000	0.992783	0.007217	
2650000	-12.795128	753	1.222460	1	4	'Z 0 0 Z 0 Z 0 0 0 0 0 Z 	0.000000	0.125000	0.125000	0.000000	0.125000	0.000000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.000709	0.000728	0.998563	0.000000	
2700000	-11.766618	514	1.297784	1	5	'Z 0 Z 0 0 Z 0 0 0 Z Z 0 	0.000000	0.142857	0.000000	0.142857	0.142857	0.000000	0.142857	0.142857	0.142857	0.000000	0.000000	0.142857	0.000300	0.000283	0.981636	0.017781	
2750000	-11.939699	782	1.358419	1	5	'0 Z Z 0 0 Z 0 0 0 Z Z 0 	0.142857	0.000000	0.000000	0.142857	0.142857	0.000000	0.142857	0.142857	0.142857	0.000000	0.000000	0.142857	0.000000	0.000129	0.996966	0.002905	
