Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-iroquois-uni.linealdescent.bttrees
Data File Name:                  ./data/bantu-iroquois-uni.linealdescent.btdata
Log File Name:                   ./output/bantu-iroquois-uni.linealdescent-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4077911377
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-iroquois-uni.linealdescent-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.072464,0.289855,0.086957,0.550725)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
99000	-75.399689	585	1	0	'0 0 0 0 	1.512553	1.512553	1.512553	1.512553	0.037627	0.363267	0.036787	0.562319	
100000	-76.794642	153	1	0	'0 0 0 0 	1.368069	1.368069	1.368069	1.368069	0.042554	0.397171	0.035511	0.524764	
101000	-75.514873	708	1	0	'0 0 0 0 	1.219518	1.219518	1.219518	1.219518	0.040234	0.509913	0.021354	0.428499	
102000	-76.467480	485	1	0	'0 0 0 0 	1.433125	1.433125	1.433125	1.433125	0.042585	0.401306	0.034930	0.521179	
103000	-79.607949	41	1	0	'0 0 0 0 	2.388659	2.388659	2.388659	2.388659	0.053219	0.299011	0.065458	0.582313	
104000	-74.423931	408	1	0	'0 0 0 0 	1.291054	1.291054	1.291054	1.291054	0.044102	0.427153	0.032368	0.496376	
105000	-76.370092	628	1	0	'0 0 0 0 	1.654403	1.654403	1.654403	1.654403	0.046022	0.375386	0.041581	0.537011	
106000	-76.170838	208	1	0	'0 0 0 0 	1.659470	1.659470	1.659470	1.659470	0.044641	0.393397	0.037582	0.524379	
107000	-75.464867	141	1	0	'0 0 0 0 	1.346026	1.346026	1.346026	1.346026	0.038181	0.340719	0.041053	0.580048	
108000	-77.674050	221	1	0	'0 0 0 0 	1.646138	1.646138	1.646138	1.646138	0.037438	0.335556	0.041274	0.585732	
109000	-76.097270	704	1	0	'0 0 0 0 	1.307011	1.307011	1.307011	1.307011	0.040269	0.425632	0.030115	0.503984	
110000	-75.981975	219	1	0	'0 0 0 0 	1.241841	1.241841	1.241841	1.241841	0.041195	0.445223	0.028355	0.485227	
111000	-77.267517	279	1	0	'0 0 0 0 	0.914831	0.914831	0.914831	0.914831	0.053740	0.556779	0.022378	0.367103	
112000	-75.248709	754	1	0	'0 0 0 0 	1.446744	1.446744	1.446744	1.446744	0.050633	0.403477	0.040089	0.505802	
113000	-76.763270	974	1	0	'0 0 0 0 	1.313892	1.313892	1.313892	1.313892	0.047934	0.373060	0.043460	0.535546	
114000	-75.329230	253	1	0	'0 0 0 0 	1.722096	1.722096	1.722096	1.722096	0.047734	0.343546	0.049108	0.559612	
115000	-77.682927	945	1	0	'0 0 0 0 	1.670636	1.670636	1.670636	1.670636	0.041090	0.317502	0.048465	0.592942	
116000	-74.884015	205	1	0	'0 0 0 0 	1.122981	1.122981	1.122981	1.122981	0.046999	0.473857	0.028245	0.450898	
117000	-74.740770	231	1	0	'0 0 0 0 	1.605929	1.605929	1.605929	1.605929	0.048431	0.360308	0.046267	0.544994	
118000	-77.135328	543	1	0	'0 0 0 0 	2.041186	2.041186	2.041186	2.041186	0.049032	0.306317	0.059188	0.585463	
119000	-77.208304	494	1	0	'0 0 0 0 	1.165361	1.165361	1.165361	1.165361	0.042429	0.449118	0.028629	0.479824	
120000	-77.965597	333	1	0	'0 0 0 0 	0.863595	0.863595	0.863595	0.863595	0.041991	0.654562	0.011816	0.291631	
