Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/uto-iroquois-cross.cousinmarriage.preferred.bttrees
Data File Name:                  ./data/uto-iroquois-cross.cousinmarriage.preferred.btdata
Log File Name:                   ./output/uto-iroquois-cross.cousinmarriage.preferred-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3916137559
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/uto-iroquois-cross.cousinmarriage.preferred-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.631579,0.157895,0.210526,0.000000)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.104381
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       19
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
74000	-12.714084	708	1	2	'0 0 0 Z Z 0 0 0 	D	16.117402	16.117402	16.117402	0.000000	0.000000	16.117402	16.117402	16.117402	0.999836	0.000164	0.000000	0.000000	
75000	-14.049706	463	1	1	'0 0 0 0 0 Z 0 0 	D	9.428749	9.428749	9.428749	9.428749	9.428749	0.000000	9.428749	9.428749	0.999241	0.000009	0.000751	0.000000	
76000	-12.126190	740	1	3	'0 0 Z Z 0 Z 0 0 	D	24.385093	24.385093	0.000000	0.000000	24.385093	0.000000	24.385093	24.385093	0.999729	0.000000	0.000271	0.000000	
77000	-11.581938	282	1	3	'0 0 0 0 Z Z 0 Z 	D	32.111626	32.111626	32.111626	32.111626	0.000000	0.000000	32.111626	0.000000	0.999689	0.000311	0.000000	0.000000	
78000	-12.576049	293	1	2	'0 0 0 Z Z 0 0 0 	D	26.121803	26.121803	26.121803	0.000000	0.000000	26.121803	26.121803	26.121803	0.999755	0.000245	0.000000	0.000000	
79000	-13.914769	284	1	2	'0 0 0 0 Z Z 0 0 	D	10.197391	10.197391	10.197391	10.197391	0.000000	0.000000	10.197391	10.197391	0.999983	0.000017	0.000000	0.000000	
80000	-13.126251	358	1	2	'0 0 0 Z 0 0 Z 0 	D	14.341328	14.341328	14.341328	0.000000	14.341328	14.341328	0.000000	14.341328	0.999404	0.000038	0.000558	0.000000	
81000	-11.962506	606	1	3	'0 0 Z Z 0 Z 0 0 	D	30.931300	30.931300	0.000000	0.000000	30.931300	0.000000	30.931300	30.931300	0.996940	0.000000	0.003060	0.000000	
82000	-12.598804	901	1	0	'0 0 0 0 0 0 0 0 	I	21.638813	21.638813	21.638813	21.638813	21.638813	21.638813	21.638813	21.638813	0.997047	0.000389	0.002565	0.000000	
83000	-12.402025	704	1	4	'0 0 0 0 Z Z Z Z 	D	22.965077	22.965077	22.965077	22.965077	0.000000	0.000000	0.000000	0.000000	0.999558	0.000442	0.000000	0.000000	
84000	-13.969107	720	1	1	'0 0 Z 0 0 0 0 0 	D	7.491639	7.491639	0.000000	7.491639	7.491639	7.491639	7.491639	7.491639	0.999638	0.000000	0.000362	0.000000	
85000	-13.078052	130	1	3	'0 0 0 0 0 Z Z Z 	D	16.249224	16.249224	16.249224	16.249224	16.249224	0.000000	0.000000	0.000000	0.997138	0.000050	0.002812	0.000000	
86000	-13.133808	249	1	3	'0 0 0 0 0 Z Z Z 	D	14.259740	14.259740	14.259740	14.259740	14.259740	0.000000	0.000000	0.000000	0.999507	0.000156	0.000337	0.000000	
87000	-12.842124	161	1	3	'0 0 Z Z 0 Z 0 0 	D	16.976854	16.976854	0.000000	0.000000	16.976854	0.000000	16.976854	16.976854	0.997384	0.000000	0.002616	0.000000	
88000	-12.786957	920	1	4	'0 0 Z 0 0 Z Z Z 	D	23.779396	23.779396	0.000000	23.779396	23.779396	0.000000	0.000000	0.000000	0.999513	0.000000	0.000487	0.000000	
89000	-12.159125	110	1	4	'0 0 Z Z 0 Z Z 0 	D	26.565673	26.565673	0.000000	0.000000	26.565673	0.000000	0.000000	26.565673	0.995550	0.000000	0.004450	0.000000	
90000	-13.146087	667	1	5	'0 0 0 Z Z Z Z Z 	D	14.172266	14.172266	14.172266	0.000000	0.000000	0.000000	0.000000	0.000000	0.999994	0.000006	0.000000	0.000000	
91000	-12.128770	208	1	2	'0 0 0 0 Z Z 0 0 	D	17.407444	17.407444	17.407444	17.407444	0.000000	0.000000	17.407444	17.407444	0.999845	0.000155	0.000000	0.000000	
92000	-11.995425	253	1	1	'0 0 Z 0 0 0 0 0 	D	22.695332	22.695332	0.000000	22.695332	22.695332	22.695332	22.695332	22.695332	0.995577	0.000000	0.004423	0.000000	
93000	-12.820126	542	1	4	'0 0 0 Z Z Z 0 Z 	D	14.132096	14.132096	14.132096	0.000000	0.000000	0.000000	14.132096	0.000000	0.999802	0.000198	0.000000	0.000000	
94000	-16.124289	608	1	2	'0 0 0 Z 0 0 Z 0 	D	3.143300	3.143300	3.143300	0.000000	3.143300	3.143300	0.000000	3.143300	0.999817	0.000003	0.000180	0.000000	
95000	-13.509388	832	1	2	'0 0 0 0 0 0 Z Z 	D	7.868500	7.868500	7.868500	7.868500	7.868500	7.868500	0.000000	0.000000	0.998755	0.000014	0.001231	0.000000	
96000	-12.630359	114	1	3	'0 0 0 0 0 Z Z Z 	D	37.748352	37.748352	37.748352	37.748352	37.748352	0.000000	0.000000	0.000000	0.927618	0.069409	0.002974	0.000000	
97000	-12.127348	525	1	1	'0 0 0 0 0 Z 0 0 	D	47.069112	47.069112	47.069112	47.069112	47.069112	0.000000	47.069112	47.069112	0.999144	0.000244	0.000613	0.000000	
98000	-12.872716	88	1	2	'0 0 0 Z 0 Z 0 0 	D	9.185906	9.185906	9.185906	0.000000	9.185906	0.000000	9.185906	9.185906	0.999916	0.000039	0.000044	0.000000	
99000	-12.713086	842	1	4	'0 0 Z Z 0 Z 0 Z 	D	25.006024	25.006024	0.000000	0.000000	25.006024	0.000000	25.006024	0.000000	0.999583	0.000000	0.000417	0.000000	
100000	-12.935196	629	1	4	'0 0 0 0 Z Z Z Z 	D	20.868193	20.868193	20.868193	20.868193	0.000000	0.000000	0.000000	0.000000	0.999857	0.000143	0.000000	0.000000	
101000	-12.475061	166	1	4	'0 0 Z Z 0 Z 0 Z 	D	22.397233	22.397233	0.000000	0.000000	22.397233	0.000000	22.397233	0.000000	0.996232	0.000000	0.003768	0.000000	
102000	-13.506779	2	1	1	'0 0 0 0 0 0 0 Z 	D	7.826727	7.826727	7.826727	7.826727	7.826727	7.826727	7.826727	0.000000	0.999318	0.000140	0.000542	0.000000	
103000	-12.198685	525	1	2	'0 0 Z 0 0 Z 0 0 	D	23.597568	23.597568	0.000000	23.597568	23.597568	0.000000	23.597568	23.597568	0.999899	0.000000	0.000101	0.000000	
104000	-17.241861	131	1	2	'0 0 0 Z Z 0 0 0 	D	2.624146	2.624146	2.624146	0.000000	0.000000	2.624146	2.624146	2.624146	0.999998	0.000002	0.000000	0.000000	
