Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/bantu-iroquois-uni.localresidence.bttrees
Data File Name:                  ./data/bantu-iroquois-uni.localresidence.btdata
Log File Name:                   ./output/bantu-iroquois-uni.localresidence-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            629767900
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-iroquois-uni.localresidence-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.057971,0.304348,0.072464,0.565217)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
97000	-70.475712	338	1	0	'0 0 0 0 0 0 0 0 	I	1.466314	1.466314	1.466314	1.466314	1.466314	1.466314	1.466314	1.466314	0.033954	0.400411	0.030541	0.535095	
98000	-69.628280	295	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	1.249728	1.249728	1.249728	1.249728	1.249728	0.000000	0.072188	0.093722	0.834090	
99000	-70.992988	960	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	1.161639	1.161639	1.161639	1.161639	1.161639	0.000000	0.078064	0.090910	0.831026	
100000	-68.436159	764	1	0	'0 0 0 0 0 0 0 0 	I	1.323946	1.323946	1.323946	1.323946	1.323946	1.323946	1.323946	1.323946	0.034966	0.399881	0.031413	0.533739	
101000	-69.091330	321	1	1	'0 Z 0 0 0 0 0 0 	D	1.135931	0.000000	1.135931	1.135931	1.135931	1.135931	1.135931	1.135931	0.036828	0.468848	0.023333	0.470991	
102000	-69.691850	425	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	2.080278	0.000000	2.080278	2.080278	2.080278	2.080278	2.080278	0.028602	0.179848	0.079836	0.711713	
103000	-69.172125	173	1	0	'0 0 0 0 0 0 0 0 	I	0.931442	0.931442	0.931442	0.931442	0.931442	0.931442	0.931442	0.931442	0.047248	0.565378	0.020629	0.366745	
104000	-68.879818	367	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	1.564540	1.564540	1.564540	1.564540	1.564540	1.564540	0.000000	0.394129	0.032366	0.573504	
105000	-70.327593	70	1	1	'0 0 0 Z 0 0 0 0 	D	1.416002	1.416002	1.416002	0.000000	1.416002	1.416002	1.416002	1.416002	0.008700	0.005512	0.046715	0.939072	
106000	-69.383043	425	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	1.369629	0.000000	1.369629	1.369629	1.369629	1.369629	1.369629	0.022325	0.106915	0.083644	0.787116	
107000	-70.449704	422	2	2	'0 Z Z 1 1 0 0 0 	D	2.607695	0.000000	0.000000	8.893185	8.893185	2.607695	2.607695	2.607695	0.071525	0.285649	0.087531	0.555295	
108000	-72.032250	630	1	3	'Z Z 0 0 Z 0 0 0 	D	0.000000	0.000000	1.197688	1.197688	0.000000	1.197688	1.197688	1.197688	0.000000	0.762661	0.001324	0.236015	
109000	-74.514886	106	1	2	'0 0 Z Z 0 0 0 0 	D	1.112614	1.112614	0.000000	0.000000	1.112614	1.112614	1.112614	1.112614	0.027530	0.000000	0.123203	0.849267	
110000	-70.256648	479	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	1.386293	1.386293	1.386293	1.386293	1.386293	0.000000	0.110860	0.088927	0.800213	
111000	-68.791815	691	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	1.450630	1.450630	1.450630	1.450630	1.450630	1.450630	0.000000	0.466679	0.028474	0.504847	
112000	-69.721391	867	1	2	'0 Z 0 0 Z 0 0 0 	D	1.233527	0.000000	1.233527	1.233527	0.000000	1.233527	1.233527	1.233527	0.059570	0.706189	0.001451	0.232790	
113000	-73.978490	213	1	2	'0 0 0 0 Z Z 0 0 	D	1.715007	1.715007	1.715007	1.715007	0.000000	0.000000	1.715007	1.715007	0.037106	0.585521	0.000000	0.377374	
114000	-69.141353	132	1	2	'0 Z 0 0 Z 0 0 0 	D	1.310799	0.000000	1.310799	1.310799	0.000000	1.310799	1.310799	1.310799	0.082084	0.624018	0.003705	0.290193	
115000	-70.489758	306	1	1	'0 0 0 Z 0 0 0 0 	D	1.728664	1.728664	1.728664	0.000000	1.728664	1.728664	1.728664	1.728664	0.016760	0.018250	0.064866	0.900124	
116000	-72.680609	988	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	2.245809	2.245809	0.000000	2.245809	2.245809	0.000000	0.187751	0.000000	0.812249	
117000	-71.502042	31	1	3	'0 Z 0 0 Z Z 0 0 	D	1.293611	0.000000	1.293611	1.293611	0.000000	0.000000	1.293611	1.293611	0.077050	0.586012	0.000000	0.336938	
118000	-71.068806	57	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	1.327367	1.327367	1.327367	1.327367	1.327367	1.327367	1.327367	0.005023	0.455410	0.024778	0.514789	
119000	-68.970172	728	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	1.656303	1.656303	1.656303	1.656303	1.656303	0.000000	0.107583	0.100408	0.792010	
120000	-72.335446	565	1	1	'0 Z 0 0 0 0 0 0 	D	1.647621	0.000000	1.647621	1.647621	1.647621	1.647621	1.647621	1.647621	0.048567	0.403739	0.037783	0.509910	
121000	-69.614252	320	2	4	'Z Z Z 1 1 Z 0 0 	D	0.000000	0.000000	0.000000	5.416804	5.416804	0.000000	2.317289	2.317289	0.000000	0.388620	0.000000	0.611380	
122000	-71.727233	159	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	1.535875	1.535875	1.535875	1.535875	1.535875	1.535875	0.000000	0.414008	0.031620	0.554371	
123000	-70.079803	912	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	2.476294	2.476294	2.476294	2.476294	2.476294	0.000000	0.197879	0.085503	0.716618	
124000	-70.971359	92	1	1	'0 0 0 Z 0 0 0 0 	D	1.576871	1.576871	1.576871	0.000000	1.576871	1.576871	1.576871	1.576871	0.015765	0.016011	0.062804	0.905420	
