Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/bantu-omaha-patrilineal.bttrees
Data File Name:                  ./data/bantu-omaha-patrilineal.btdata
Log File Name:                   ./output/bantu-omaha-patrilineal-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4174610314
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-omaha-patrilineal-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.521739,0.362319,0.014493,0.101449)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
102000	-67.745360	422	1	1	'0 Z 0 0 0 0 0 0 	D	3.122261	0.000000	3.122261	3.122261	3.122261	3.122261	3.122261	3.122261	0.661123	0.278347	0.010351	0.050179	
103000	-73.262707	882	1	4	'0 Z 0 0 Z Z Z 0 	D	3.872279	0.000000	3.872279	3.872279	0.000000	0.000000	0.000000	3.872279	0.806916	0.193084	0.000000	0.000000	
104000	-67.322026	363	1	1	'0 Z 0 0 0 0 0 0 	D	2.496181	0.000000	2.496181	2.496181	2.496181	2.496181	2.496181	2.496181	0.686499	0.263050	0.009139	0.041312	
105000	-70.124393	777	1	1	'0 Z 0 0 0 0 0 0 	D	1.645860	0.000000	1.645860	1.645860	1.645860	1.645860	1.645860	1.645860	0.762048	0.212084	0.005862	0.020006	
106000	-68.765033	420	1	3	'0 Z 0 0 Z Z 0 0 	D	2.044205	0.000000	2.044205	2.044205	0.000000	0.000000	2.044205	2.044205	0.802099	0.191616	0.000000	0.006285	
107000	-69.175112	630	1	1	'0 Z 0 0 0 0 0 0 	D	2.052897	0.000000	2.052897	2.052897	2.052897	2.052897	2.052897	2.052897	0.755502	0.218177	0.005816	0.020505	
108000	-69.623665	761	2	3	'1 Z 1 1 Z Z 1 0 	D	3.188467	0.000000	3.188467	3.188467	0.000000	0.000000	3.188467	2.487464	0.732024	0.250757	0.000000	0.017219	
109000	-68.652483	886	1	2	'0 Z 0 0 0 0 Z 0 	D	2.895426	0.000000	2.895426	2.895426	2.895426	2.895426	0.000000	2.895426	0.727164	0.244111	0.008721	0.020005	
110000	-71.326288	73	1	3	'0 Z 0 0 Z Z 0 0 	D	3.908552	0.000000	3.908552	3.908552	0.000000	0.000000	3.908552	3.908552	0.713831	0.267780	0.000000	0.018389	
111000	-68.002121	911	1	1	'0 Z 0 0 0 0 0 0 	D	3.544062	0.000000	3.544062	3.544062	3.544062	3.544062	3.544062	3.544062	0.631099	0.297290	0.011351	0.060260	
112000	-68.810512	756	1	2	'0 Z 0 0 Z 0 0 0 	D	2.266224	0.000000	2.266224	2.266224	0.000000	2.266224	2.266224	2.266224	0.790413	0.200513	0.000147	0.008926	
113000	-70.381309	573	1	2	'0 Z 0 0 0 0 Z 0 	D	2.440063	0.000000	2.440063	2.440063	2.440063	2.440063	0.000000	2.440063	0.755579	0.224235	0.007401	0.012784	
114000	-68.579483	549	1	2	'0 Z 0 0 0 0 Z 0 	D	2.360573	0.000000	2.360573	2.360573	2.360573	2.360573	0.000000	2.360573	0.747097	0.230207	0.007826	0.014871	
115000	-68.175850	110	1	1	'0 Z 0 0 0 0 0 0 	D	2.605122	0.000000	2.605122	2.605122	2.605122	2.605122	2.605122	2.605122	0.683305	0.264868	0.009331	0.042496	
116000	-69.151893	938	1	4	'0 Z Z 0 Z Z 0 0 	D	2.164791	0.000000	0.000000	2.164791	0.000000	0.000000	2.164791	2.164791	1.000000	0.000000	0.000000	0.000000	
117000	-68.937542	456	1	2	'0 Z 0 0 0 0 Z 0 	D	2.973643	0.000000	2.973643	2.973643	2.973643	2.973643	0.000000	2.973643	0.739894	0.234129	0.008377	0.017599	
118000	-67.276465	710	1	4	'0 Z 0 0 Z Z Z 0 	D	1.521934	0.000000	1.521934	1.521934	0.000000	0.000000	0.000000	1.521934	0.867284	0.132716	0.000000	0.000000	
119000	-70.464421	59	1	4	'0 Z 0 0 Z Z Z 0 	D	2.236148	0.000000	2.236148	2.236148	0.000000	0.000000	0.000000	2.236148	0.838252	0.161748	0.000000	0.000000	
120000	-67.720679	361	1	1	'0 Z 0 0 0 0 0 0 	D	2.246398	0.000000	2.246398	2.246398	2.246398	2.246398	2.246398	2.246398	0.715926	0.243221	0.008068	0.032785	
121000	-69.528517	686	1	2	'0 Z 0 0 Z 0 0 0 	D	3.264380	0.000000	3.264380	3.264380	0.000000	3.264380	3.264380	3.264380	0.733117	0.247463	0.000631	0.018789	
122000	-68.684719	738	1	1	'0 Z 0 0 0 0 0 0 	D	2.501847	0.000000	2.501847	2.501847	2.501847	2.501847	2.501847	2.501847	0.757439	0.215609	0.006061	0.020892	
123000	-69.133576	311	1	3	'0 Z 0 0 Z Z 0 0 	D	2.550099	0.000000	2.550099	2.550099	0.000000	0.000000	2.550099	2.550099	0.766278	0.223117	0.000000	0.010605	
124000	-69.183935	416	1	3	'0 Z 0 0 Z Z 0 0 	D	2.519940	0.000000	2.519940	2.519940	0.000000	0.000000	2.519940	2.519940	0.751037	0.236493	0.000000	0.012470	
