Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-crow-matrilocal.bttrees
Data File Name:                  ./data/austronesian-crow-matrilocal.btdata
Log File Name:                   ./output/austronesian-crow-matrilocal-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1020228963
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-crow-matrilocal-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.845238,0.083333,0.035714,0.035714)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000085
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       84
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
76000	-42.840237	128	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	21.354747	21.354747	0.000000	21.354747	21.354747	0.000000	0.811612	0.000000	0.188388	
77000	-42.920209	134	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	23.212784	23.212784	0.000000	23.212784	23.212784	0.000000	0.857934	0.000000	0.142066	
78000	-41.929267	731	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	28.230148	28.230148	28.230148	28.230148	28.230148	0.000000	0.679465	0.102846	0.217688	
79000	-42.183401	145	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	31.079909	31.079909	31.079909	31.079909	31.079909	0.000000	0.694878	0.092574	0.212548	
80000	-42.342542	72	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	28.711307	28.711307	28.711307	28.711307	28.711307	0.000000	0.660234	0.118810	0.220956	
81000	-43.412397	952	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	19.794186	19.794186	0.000000	19.794186	19.794186	0.000000	0.800503	0.000000	0.199497	
82000	-42.574760	890	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	30.549410	30.549410	30.549410	30.549410	30.549410	0.000000	0.733737	0.063001	0.203262	
83000	-42.385790	783	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	21.295606	21.295606	0.000000	21.295606	21.295606	0.000000	0.837195	0.000000	0.162805	
84000	-42.150235	66	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	34.646088	34.646088	34.646088	34.646088	34.646088	0.000000	0.685214	0.100493	0.214293	
85000	-43.266752	6	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	24.486436	24.486436	24.486436	24.486436	24.486436	0.000000	0.651274	0.124729	0.223996	
86000	-43.273975	591	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	20.219843	20.219843	0.000000	20.219843	20.219843	0.000000	0.792781	0.000000	0.207219	
87000	-42.127952	444	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	34.558702	34.558702	34.558702	34.558702	34.558702	0.000000	0.663295	0.116692	0.220013	
88000	-41.616463	35	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	18.626829	18.626829	0.000000	18.626829	18.626829	0.000000	0.839798	0.000000	0.160202	
89000	-44.997037	612	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	15.449152	15.449152	0.000000	15.449152	15.449152	0.000000	0.829844	0.000000	0.170156	
90000	-42.419442	718	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	34.333796	34.333796	34.333796	34.333796	34.333796	0.000000	0.717968	0.073809	0.208223	
91000	-42.333052	806	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	31.599889	31.599889	31.599889	31.599889	31.599889	0.000000	0.667707	0.113481	0.218812	
92000	-42.508991	338	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	22.786246	22.786246	0.000000	22.786246	22.786246	0.000000	0.824094	0.000000	0.175906	
93000	-42.316880	664	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	35.771757	35.771757	35.771757	35.771757	35.771757	0.000000	0.728570	0.065675	0.205754	
94000	-42.393868	462	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	30.607248	30.607248	30.607248	30.607248	30.607248	0.000000	0.652347	0.124225	0.223428	
95000	-43.275074	543	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	24.553402	24.553402	0.000000	24.553402	24.553402	0.000000	0.857940	0.000000	0.142060	
96000	-43.122651	404	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	21.661901	21.661901	0.000000	21.661901	21.661901	0.000000	0.797715	0.000000	0.202285	
97000	-42.756801	444	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	18.439217	18.439217	0.000000	18.439217	18.439217	0.000000	0.800383	0.000000	0.199617	
98000	-43.315432	787	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	28.656881	28.656881	28.656881	28.656881	28.656881	0.000000	0.734310	0.062729	0.202961	
99000	-42.851520	579	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	25.305057	25.305057	25.305057	25.305057	25.305057	0.000000	0.672641	0.108899	0.218460	
100000	-41.975246	587	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	32.730731	32.730731	32.730731	32.730731	32.730731	0.000000	0.666175	0.114694	0.219131	
101000	-42.686251	520	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	21.130304	21.130304	0.000000	21.130304	21.130304	0.000000	0.799378	0.000000	0.200622	
