Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-eskimo-inheritancetobothsex.restricted.bttrees
Data File Name:                  ./data/austronesian-eskimo-inheritancetobothsex.restricted.btdata
Log File Name:                   ./output/austronesian-eskimo-inheritancetobothsex.restricted-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2741302988
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-eskimo-inheritancetobothsex.restricted-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.640000,0.160000,0.060000,0.140000)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000074
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       50
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
52000	-49.470143	378	2	1	'1 Z 0 0 1 1 0 1 	D	3.529298	0.000000	20.551832	20.551832	3.529298	3.529298	20.551832	3.529298	0.524126	0.189852	0.085390	0.200632	
53000	-50.766857	434	1	4	'0 Z 0 0 Z Z Z 0 	D	2.954446	0.000000	2.954446	2.954446	0.000000	0.000000	0.000000	2.954446	0.946243	0.053757	0.000000	0.000000	
54000	-50.423051	178	1	1	'0 Z 0 0 0 0 0 0 	D	3.278173	0.000000	3.278173	3.278173	3.278173	3.278173	3.278173	3.278173	0.749405	0.129662	0.062504	0.058429	
55000	-50.120369	744	1	1	'0 Z 0 0 0 0 0 0 	D	3.270523	0.000000	3.270523	3.270523	3.270523	3.270523	3.270523	3.270523	0.744943	0.129415	0.061817	0.063826	
56000	-49.917249	562	1	3	'0 Z 0 0 Z Z 0 0 	D	3.191142	0.000000	3.191142	3.191142	0.000000	0.000000	3.191142	3.191142	0.898388	0.096207	0.000000	0.005405	
57000	-50.078153	588	1	2	'0 Z 0 0 Z 0 0 0 	D	3.091187	0.000000	3.091187	3.091187	0.000000	3.091187	3.091187	3.091187	0.881038	0.107331	0.000291	0.011340	
58000	-49.973907	356	1	1	'0 Z 0 0 0 0 0 0 	D	2.698292	0.000000	2.698292	2.698292	2.698292	2.698292	2.698292	2.698292	0.761794	0.131560	0.068113	0.038533	
59000	-50.584568	283	1	2	'0 Z 0 0 Z 0 0 0 	D	2.658163	0.000000	2.658163	2.658163	0.000000	2.658163	2.658163	2.658163	0.887869	0.106045	0.000060	0.006025	
60000	-52.751652	540	1	3	'0 Z 0 0 Z Z 0 0 	D	1.696696	0.000000	1.696696	1.696696	0.000000	0.000000	1.696696	1.696696	0.809772	0.183973	0.000000	0.006255	
61000	-50.893733	506	1	2	'0 Z 0 0 Z 0 0 0 	D	2.434348	0.000000	2.434348	2.434348	0.000000	2.434348	2.434348	2.434348	0.873008	0.121804	0.000025	0.005163	
62000	-50.375923	704	1	3	'0 Z 0 0 Z Z 0 0 	D	2.606563	0.000000	2.606563	2.606563	0.000000	0.000000	2.606563	2.606563	0.863920	0.127833	0.000000	0.008247	
63000	-49.657326	791	2	1	'0 Z 1 0 0 1 1 1 	D	3.690180	0.000000	12.841787	3.690180	3.690180	12.841787	12.841787	12.841787	0.298660	0.157062	0.187237	0.357040	
64000	-51.933126	247	1	2	'0 Z 0 0 0 0 Z 0 	D	4.162642	0.000000	4.162642	4.162642	4.162642	4.162642	0.000000	4.162642	0.893725	0.073474	0.025974	0.006827	
65000	-49.948676	597	1	1	'0 Z 0 0 0 0 0 0 	D	3.160843	0.000000	3.160843	3.160843	3.160843	3.160843	3.160843	3.160843	0.757020	0.123344	0.059919	0.059717	
66000	-50.265297	584	1	1	'0 Z 0 0 0 0 0 0 	D	2.676824	0.000000	2.676824	2.676824	2.676824	2.676824	2.676824	2.676824	0.766926	0.129389	0.067825	0.035860	
67000	-51.702719	612	1	1	'0 Z 0 0 0 0 0 0 	D	5.199048	0.000000	5.199048	5.199048	5.199048	5.199048	5.199048	5.199048	0.767828	0.117522	0.050074	0.064576	
