Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-iroquois-polygyny.bttrees
Data File Name:                  ./data/austronesian-iroquois-polygyny.btdata
Log File Name:                   ./output/austronesian-iroquois-polygyny-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            137067443
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-iroquois-polygyny-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.262500,0.587500,0.025000,0.125000)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000086
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       80
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
76000	-72.793120	380	1	1	'0 0 0 0 0 Z 0 0 	D	0.825379	0.825379	0.825379	0.825379	0.825379	0.000000	0.825379	0.825379	0.338214	0.661580	0.000022	0.000183	
77000	-72.283849	69	1	3	'0 Z 0 0 Z Z 0 0 	D	0.723301	0.000000	0.723301	0.723301	0.000000	0.000000	0.723301	0.723301	0.730510	0.269378	0.000000	0.000113	
78000	-72.432799	41	1	2	'0 Z 0 0 0 0 Z 0 	D	1.180804	0.000000	1.180804	1.180804	1.180804	1.180804	0.000000	1.180804	0.559363	0.440512	0.000125	0.000000	
79000	-69.002033	264	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	0.955015	0.955015	0.955015	0.955015	0.955015	0.955015	0.000000	0.999229	0.000036	0.000735	
80000	-71.124402	103	1	3	'Z Z 0 0 Z 0 0 0 	D	0.000000	0.000000	0.872242	0.872242	0.000000	0.872242	0.872242	0.872242	0.000000	0.999910	0.000000	0.000090	
81000	-71.643850	326	1	3	'0 Z 0 0 Z Z 0 0 	D	0.762733	0.000000	0.762733	0.762733	0.000000	0.000000	0.762733	0.762733	0.471761	0.527726	0.000000	0.000514	
82000	-71.401215	897	1	2	'0 Z 0 0 0 0 Z 0 	D	1.285527	0.000000	1.285527	1.285527	1.285527	1.285527	0.000000	1.285527	0.571843	0.428042	0.000115	0.000000	
83000	-71.727737	899	1	4	'0 Z 0 0 Z Z Z 0 	D	1.318023	0.000000	1.318023	1.318023	0.000000	0.000000	0.000000	1.318023	0.591502	0.408498	0.000000	0.000000	
84000	-71.284634	808	1	3	'0 Z 0 0 Z Z 0 0 	D	0.923637	0.000000	0.923637	0.923637	0.000000	0.000000	0.923637	0.923637	0.583740	0.415887	0.000000	0.000373	
85000	-71.802867	702	1	2	'0 Z 0 0 Z 0 0 0 	D	1.680795	0.000000	1.680795	1.680795	0.000000	1.680795	1.680795	1.680795	0.481602	0.514484	0.000013	0.003901	
86000	-71.589883	397	1	2	'0 Z 0 0 Z 0 0 0 	D	0.997978	0.000000	0.997978	0.997978	0.000000	0.997978	0.997978	0.997978	0.555791	0.443881	0.000000	0.000327	
87000	-70.957686	170	1	4	'0 Z 0 0 Z Z Z 0 	D	1.214334	0.000000	1.214334	1.214334	0.000000	0.000000	0.000000	1.214334	0.685031	0.314969	0.000000	0.000000	
88000	-70.003810	30	1	2	'0 Z 0 0 Z 0 0 0 	D	1.004258	0.000000	1.004258	1.004258	0.000000	1.004258	1.004258	1.004258	0.545124	0.454843	0.000000	0.000032	
89000	-74.438553	291	1	3	'Z Z 0 0 Z 0 0 0 	D	0.000000	0.000000	0.682458	0.682458	0.000000	0.682458	0.682458	0.682458	0.000000	0.999248	0.000000	0.000752	
90000	-74.799957	516	1	3	'Z 0 0 0 0 0 Z Z 	D	0.000000	1.034916	1.034916	1.034916	1.034916	1.034916	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	
91000	-71.705657	196	1	1	'0 Z 0 0 0 0 0 0 	D	1.129403	0.000000	1.129403	1.129403	1.129403	1.129403	1.129403	1.129403	0.554706	0.443976	0.000410	0.000908	
