Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/uto-hawaiian-bi.localresidence.bttrees
Data File Name:                  ./data/uto-hawaiian-bi.localresidence.btdata
Log File Name:                   ./output/uto-hawaiian-bi.localresidence-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2638545886
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/uto-hawaiian-bi.localresidence-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.318182,0.000000,0.590909,0.090909)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.121603
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
68000	-19.555028	67	1	2	'0 0 0 0 0 0 Z Z 	D	22.709346	22.709346	22.709346	22.709346	22.709346	22.709346	0.000000	0.000000	0.030751	0.000000	0.969249	0.000000	
69000	-19.734754	178	1	3	'0 0 0 Z 0 0 Z Z 	D	28.400979	28.400979	28.400979	0.000000	28.400979	28.400979	0.000000	0.000000	0.057836	0.000000	0.942164	0.000000	
70000	-19.900892	58	1	0	'0 0 0 0 0 0 0 0 	I	44.236438	44.236438	44.236438	44.236438	44.236438	44.236438	44.236438	44.236438	0.020675	0.000000	0.978947	0.000378	
71000	-20.085893	318	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	17.487356	17.487356	17.487356	17.487356	17.487356	17.487356	0.000000	0.000000	0.999997	0.000003	
72000	-20.303698	180	1	5	'Z 0 Z Z 0 0 Z Z 	D	0.000000	16.961169	0.000000	0.000000	16.961169	16.961169	0.000000	0.000000	0.005805	0.000000	0.994195	0.000000	
73000	-20.920594	511	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	12.329804	12.329804	12.329804	12.329804	12.329804	12.329804	0.000000	0.000000	0.999961	0.000039	
74000	-18.724579	322	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	29.968082	29.968082	29.968082	29.968082	29.968082	0.000000	0.000000	0.999978	0.000022	
75000	-20.161875	682	1	1	'0 Z 0 0 0 0 0 0 	D	13.183434	0.000000	13.183434	13.183434	13.183434	13.183434	13.183434	13.183434	0.000000	0.000000	0.999903	0.000097	
76000	-20.375475	190	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	16.434589	16.434589	16.434589	16.434589	16.434589	0.000000	0.000000	0.999917	0.000083	
77000	-21.000925	277	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	12.836425	0.000000	12.836425	12.836425	12.836425	12.836425	12.836425	0.025150	0.000000	0.974832	0.000017	
78000	-23.060766	350	1	2	'0 0 0 Z 0 0 Z 0 	D	6.452316	6.452316	6.452316	0.000000	6.452316	6.452316	0.000000	6.452316	0.009653	0.000000	0.990343	0.000004	
79000	-20.942697	98	1	4	'Z 0 Z Z 0 0 0 Z 	D	0.000000	15.804434	0.000000	0.000000	15.804434	15.804434	15.804434	0.000000	0.017641	0.000000	0.982359	0.000000	
80000	-19.333694	284	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	37.257227	37.257227	37.257227	37.257227	37.257227	37.257227	37.257227	0.082422	0.000000	0.917386	0.000192	
81000	-20.088721	535	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	16.430360	16.430360	16.430360	16.430360	16.430360	16.430360	0.000000	0.032958	0.000000	0.967042	0.000000	
82000	-18.623164	999	1	3	'0 Z 0 0 0 0 Z Z 	D	39.303626	0.000000	39.303626	39.303626	39.303626	39.303626	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
83000	-19.320684	890	2	1	'Z 1 0 0 1 1 0 1 	D	0.000000	24.616043	0.609175	0.609175	24.616043	24.616043	0.609175	24.616043	0.003454	0.000000	0.996219	0.000327	
84000	-20.088140	605	1	5	'Z 0 Z Z 0 0 Z Z 	D	0.000000	16.654140	0.000000	0.000000	16.654140	16.654140	0.000000	0.000000	0.011779	0.000000	0.988221	0.000000	
85000	-19.072672	123	2	2	'Z 1 1 1 0 0 Z 0 	D	0.000000	8.228998	8.228998	8.228998	33.678027	33.678027	0.000000	33.678027	0.001761	0.000000	0.997967	0.000272	
86000	-20.206719	864	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	14.351000	14.351000	14.351000	14.351000	14.351000	0.000000	0.000000	0.999953	0.000047	
87000	-21.183820	557	1	2	'0 0 0 0 0 0 Z Z 	D	15.166630	15.166630	15.166630	15.166630	15.166630	15.166630	0.000000	0.000000	0.014256	0.000000	0.985744	0.000000	
88000	-19.139053	532	1	1	'0 0 0 0 0 0 0 Z 	D	28.714731	28.714731	28.714731	28.714731	28.714731	28.714731	28.714731	0.000000	0.015189	0.000000	0.984811	0.000000	
89000	-21.688168	496	1	2	'0 Z 0 0 0 0 Z 0 	D	16.294469	0.000000	16.294469	16.294469	16.294469	16.294469	0.000000	16.294469	0.000000	0.000000	0.999984	0.000016	
90000	-20.280563	86	1	4	'0 0 Z Z 0 0 Z Z 	D	25.934686	25.934686	0.000000	0.000000	25.934686	25.934686	0.000000	0.000000	0.062020	0.000000	0.937980	0.000000	
91000	-20.498881	427	1	3	'Z Z 0 0 0 0 0 Z 	D	0.000000	0.000000	25.106870	25.106870	25.106870	25.106870	25.106870	0.000000	0.000000	0.000000	1.000000	0.000000	
92000	-19.048073	634	1	3	'Z 0 Z Z 0 0 0 0 	D	0.000000	21.059280	0.000000	0.000000	21.059280	21.059280	21.059280	21.059280	0.044304	0.000000	0.955390	0.000305	
93000	-19.972755	30	1	3	'0 0 Z Z 0 0 Z 0 	D	18.887146	18.887146	0.000000	0.000000	18.887146	18.887146	0.000000	18.887146	0.027920	0.000000	0.971952	0.000128	
94000	-19.244100	92	1	4	'Z 0 Z 0 0 0 Z Z 	D	0.000000	39.538157	0.000000	39.538157	39.538157	39.538157	0.000000	0.000000	0.054805	0.000000	0.945195	0.000000	
95000	-20.572400	194	1	2	'0 Z 0 0 0 0 Z 0 	D	51.455161	0.000000	51.455161	51.455161	51.455161	51.455161	0.000000	51.455161	0.000000	0.000000	0.997702	0.002298	
96000	-21.763924	639	1	5	'Z 0 Z Z 0 0 Z Z 	D	0.000000	13.227615	0.000000	0.000000	13.227615	13.227615	0.000000	0.000000	0.014456	0.000000	0.985544	0.000000	
97000	-20.531027	237	1	4	'Z 0 Z 0 0 0 Z Z 	D	0.000000	13.626684	0.000000	13.626684	13.626684	13.626684	0.000000	0.000000	0.053697	0.000000	0.946303	0.000000	
98000	-21.677893	275	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	11.487026	11.487026	11.487026	11.487026	11.487026	11.487026	0.000000	0.017603	0.000000	0.982397	0.000000	
99000	-22.848385	786	1	3	'Z Z 0 0 0 0 0 Z 	D	0.000000	0.000000	9.323507	9.323507	9.323507	9.323507	9.323507	0.000000	0.000000	0.000000	1.000000	0.000000	
100000	-19.673205	9	1	4	'Z 0 Z Z 0 0 0 Z 	D	0.000000	32.793609	0.000000	0.000000	32.793609	32.793609	32.793609	0.000000	0.002407	0.000000	0.997593	0.000000	
101000	-20.163170	902	1	2	'0 Z 0 0 0 0 0 Z 	D	22.078965	0.000000	22.078965	22.078965	22.078965	22.078965	22.078965	0.000000	0.000000	0.000000	1.000000	0.000000	
102000	-19.636610	536	1	2	'0 Z 0 0 0 0 Z 0 	D	22.642925	0.000000	22.642925	22.642925	22.642925	22.642925	0.000000	22.642925	0.000000	0.000000	0.999921	0.000079	
